title,abstract,authors,article_type,pub_year,volume,database_id,database_type,reviewer_name,marine_y_n,water_body_type,original_research_y_n,response_variable,connectivity_metric,inclusion,notes
temporal coherence between lake and landscape primary productivity,"Understanding the patterns and drivers of primary productivity is a major goal of ecology, but little is known about whether the primary productivities of different types of ecosystems—here, lakes and the landscapes in which they are embedded—fluctuate in related ways through time. Due to shared climatic variation and well-known connections between lake and terrestrial ecosystems, such as nutrient and resource subsidies, we hypothesized that interannual fluctuations in aquatic and terrestrial primary productivity indices could be coherent. We also expected that lake and watershed characteristics could modify the strength and nature of primary productivity relationships. We applied wavelet coherence analyses to time series of lake chlorophyll-a and satellite-derived NDVI to examine coherence between lakes and land, and used random forest regression and generalized additive models to evaluate why coherence varies among lakes. There can be substantial coherence between lake and terrestrial primary productivity, but the strength and phase (direction and time lag) of this relationship vary widely, and there were marked differences between short (2–4-year periods of oscillation) and long (&gt; 4-year periods of oscillation) timescales. Across all timescales, variables associated with the connectedness of lakes to their watersheds were consistently the important explanatory variables of the strength and phase of coherence. The patterns observed in this study suggest the importance of cross-ecosystem flows, as opposed to shared climatic variation, in determining temporal coherence between lakes and the landscape.","Walter, Jonathan A;Fleck, Rachel;Kastens, Jude H;Pace, Michael L;Wilkinson, Grace M",Scholarly Journals,2021,24,2517102093,proquest,DC,NA,NA,NA,NA,NA,NA,NA
"suspended sediment, nutrients, and chlorophyll in tropical floodplain lakes with different patterns of hydrological connectivity","The ecological functioning of floodplain lakes is largely influenced by the interaction with the river mainstem. In this study, seasonal variation in water chemistry and the relationship with the river conditions were compared between floodplain lakes that differ in the level of connection to the Usumacinta River, the largest river of Mesoamerica. Samples for suspended solids, nutrients, and chlorophyll a were collected through the year in lakes permanently connected to the river and in lakes that only received water from the Usumacinta for a short period during peak flow. Floodplain lakes showed higher total suspended solids than the river during the dry season while during the rainy season greater differences were observed between the river and the lakes, probably explained by higher concentrations in the river and greater sedimentation in the lakes. Greater organic matter content in the suspended solids was observed in the floodplain lakes, particularly in the more isolated lakes, likely related to high algal biomass. Nitrate concentrations were always higher in the river than in the lakes and lower nitrate concentrations occurred at the isolated lakes, suggesting that processes that remove nitrate occur through the year and are a common feature of floodplain lakes. Phosphorus in the connected lakes was higher than in the river only during the dry season, while in the isolated lakes concentrations were always greater than in the river. Chlorophyll a concentrations were higher in the connected lakes than in the river only during the dry season, while the more isolated lakes exhibited higher values through the year, showing signs of eutrophication. Suspended organic matter, nitrate, and chlorophyll showed larger differences between lake and river sites in the more isolated lakes, probably related to greater water residence time and its influence on primary production. Less connected lakes are more vulnerable to flow alteration because the brief period of connection to the river can be compromised and the effects of eutrophication exacerbated.","Castillo, María M",Scholarly Journals,2020,82,2439434677,proquest,DC,NA,NA,NA,NA,NA,NA,NA
phytoplankton dynamics in the congo river,"We report a dataset of phytoplankton in the Congo River, acquired along a 1700-km stretch in the mainstem during high water (HW, December 2013) and falling water (FW, June 2014). Samples for phytoplankton analysis were collected in the main river, in tributaries and one lake, and various relevant environmental variables were measured. Phytoplankton biomass and composition were determined by high-performance liquid chromatography analysis of chlorophyll a (Chl a) and marker pigments and by microscopy. Primary production measurements were made using the ¹³C incubation technique. In addition, data are also reported from a 19-month regular sampling (bi-monthly) at a fixed station in the mainstem of the upper Congo (at the city of Kisangani). Chl a concentrations differed between the two periods studied: in the mainstem, they varied between 0.07 and 1.77 µg L¹ in HW conditions and between 1.13 and 7.68 µg L¹ in FW conditions. The relative contribution to phytoplankton biomass from tributaries (mostly black waters) and from a few permanent lakes was low, and the main confluences resulted in phytoplankton dilution. Based on marker pigment concentration, green algae (both chlorophytes and streptophytes) dominated in the mainstem in HW, whereas diatoms dominated in FW; cryptophytes and cyanobacteria were more abundant but still relatively low in the FW period, both in the tributaries and in the main channel. Daily integrated production measured in the mainstem (n = 15) varied between 64.3 and 434.1 mg C m² day¹ in FW conditions and between 51.5 and 247.6 mg C m² day¹ in HW. Phytoplankton biomass in the Congo River mainstem was likely constrained by hydrological factors (accumulation due to increased retention time during FW, dilution by increased discharge during HW), even though increased nutrient availability in the FW period might have also stimulated phytoplankton production. In contrast to other tropical river systems where connectivity with the floodplain and the presence of natural lakes and man-made reservoirs play a prominent role in the recruitment of phytoplankton to the main river, our results show that phytoplankton growth in the Congo River can take place in the main channel, with hydrological processes allowing maintenance of phytoplankton biomass even during HW.","Descy, Jean-Pierre;Darchambeau, François;Lambert, Thibault;Stoyneva-Gaertner, Maya P;Bouillon, Steven;Borges, Alberto V",Scholarly Journals,2017,62,2000461867,proquest,DC,NA,NA,NA,NA,NA,NA,NA
hydrological connectivity as most probable key driver of chlorophyll and nutrients in oxbow lakes of the bug river (poland),"Concentrations of chlorophyll, dissolved inorganic nitrogen and phosphorus, total phosphorus and suspended solids were analysed in 10 oxbow lakes of the Bug River in spring and summer. According to their connectivity with the river, all lakes were divided into 3 categories – lakes connected with the river channel but separated from the floodplain inputs, lakes connected with the river but receiving inputs from the floodplain and totally isolated lakes. Connected lakes showed significantly higher concentrations of available nutrients and chlorophyll but the relationship between the two variables was weak in the spring and non-existent in the summer. Suspended solids were also more abundant in connected than in isolated lakes. Analyses of the proportion of chlorophyll and particulate phosphorus in suspension led us to the conclusion that water movement in connected lakes inhibited sedimentation and kept algae in the water column. Isolated oxbow lakes devoid of wind-driven mixing were more susceptible to algal sedimentation which would explain the differences observed between the two lake categories.","Kufel, Lech;Szymon Leśniczuk",Scholarly Journals,2014,46,2000146923,proquest,DC,NA,NA,NA,NA,NA,NA,NA
"serial discontinuity along the descoberto river basin, central brazil","Aim: The Descoberto Basin was studied as a discontinuous ecological system through one seasonal cycle (about one year), at 13 sampling sites; Methods: The connectivity was analyzed in relation to environmental and limnological characteristics along the length of the Descoberto River, and the variables that most influenced the different sampling sites were determined; Results: Sites K and L, located upstream and downstream of the entrance of the Melchior River, respectively, differed most in physical and chemical parameters. A Principal Components Analysis demonstrated that the system was more influenced spatially than temporally, with 74.57% of accumulated variance accounted for by the first two axes. High values of chloride, chlorophyll-a, BOD5, total phosphorus, and total organic carbon, as well as low dissolved-oxygen concentrations separated sites L and M from the others. Winter and spring were the seasons in which most parameters showed significant differences among the sites; Conclusions: The construction of the dam and waste discharge act as discontinuity factors affecting the referred system, mainly at middle region and lower patch, between the sites K and L. Besides the construction of the reservoir, the Melchior River, an extremely impacted system, affects the Descoberto River downstream from its entry. Important changes in water quality occur in the lower basin, especially downstream of the Descoberto Reservoir, with significant increases in nutrient concentrations, suspended solids, turbidity, and chlorophyll a, and therefore a decrease in water clarity.Original Abstract: Objetivo: A bacia do rio Descoberto foi estudada como um sistema descontinuo atraves de um ciclo sazonal (um ano) em 13 estacoes amostrais; Metodos: A conectividade foi analisada em relacao a caracteristicas ambientais e limnologicas ao longo eixo longitudinal do rio Descoberto e as variaveis que mais influenciaram as diferentes estacoes amostrais foram determinadas; Resultados: As estacoes K e L, localizadas a montante e jusante da entrada do rio Melchior, respectivamente, diferiram mais quanto aos parametros fisicos e qulmicos da agua. Uma analise de componentes principals (PCA) demonstrou que o sistema foi mais influenciado espacialmente que temporalmente, com 74,57% da variancia total acumulada nos dois primeiros eixos. Altos valores de cloreto, clorofila a, DBO5, fosforo total e carbono organico total, tanto quanto baixas concentracoes de oxigenio dissolvido separaram as estacoes L e M das demais. Inverno e primavera foram estacoes nas quais a maioria dos parametros apresentou diferencas significativas entre as estacoes; Conclusoes: A construcao do reservatorio e descargas de esgoto atuaram como fatores de descontinuidade afetando o referido sistema, principalmente no trecho medio do rio e no trecho inferior, entre estacoes K e L. O rio Melchior, a partir de sua entrada, afetou o rio Descoberto. Importantes mudancas na qualidade de agua ocorreram na bacia especialmente a jusante do reservatorio, com aumentos significativos de nutrientes, solidos suspensos, turbidez e clorofila a e, portanto, na diminuicao da transparencia da agua.","da Silva, WJ;Felisberto, SA;Fonseca, C P;das Gracas Machado de Souza, M",Scholarly Journals,2010,22,869576543,proquest,DC,NA,NA,NA,NA,NA,NA,NA
floods increase similarity among aquatic habitats in river-floodplain systems,"During low water levels, habitats in river-floodplain systems are isolated from each other and from the main river. Oppositely, floods tend to connect water bodies with distinct hydrological characteristics and, as a result, ecological processes and biological communities tend to be more similar among the distinct habitats that comprise a river-floodplain system. Based on a literature review and also using unpublished data obtained in tropical floodplains, the aim of this paper is to highlight the effects of floods as a process that reduce spatial variability. The usual negative relationship between the coefficient of variation of any ecological indicator (e.g., chlorophyll-a or total phosphorus) and water level is the main result demonstrating a reduction in spatial variability due to floods. Considering physical, chemical or biotic data gathered in distinct habitats within the floodplain, this pattern was found in temperate and tropical regions, subjected to distinct levels of anthropogenic impacts, and at different spatial extents. The main mechanism that accounts for this pattern may be stated as follow. During low water level, the biological communities of each habitat in the floodplain (e.g. lagoons, backwater, streams) follow distinct temporal trajectories due to the effects of local driving forces (e.g. an efficient predator trapped in a lagoon but not in another). Management plans and biodiversity conservation in river floodplain systems will benefit by considering the effects of flood homogenization and increased connectivity peculiar to these unique ecosystems.[PUBLICATION ABSTRACT]","Thomaz, Sidinei M;Bini, Luis Mauricio;Bozelli, Reinaldo Luiz",Scholarly Journals,2007,579,821237454,proquest,DC,NA,NA,NA,NA,NA,NA,NA
"hydrologic variability, water chemistry, and phytoplankton biomass in a large floodplain of the sacramento river, ca, u.s.a","The Yolo Bypass, a large, managed floodplain that discharges to the headwaters of the San Francisco Estuary, was studied before, during, and after a single, month-long inundation by the Sacramento River in winter and spring 2000. The primary objective was to identify hydrologic conditions and other factors that enhance production of phytoplankton biomass in the floodplain waters. Recent reductions in phytoplankton have limited secondary production in the river and estuary, and increased phytoplankton biomass is a restoration objective for this system. Chlorophyll a was used as a measure of phytoplankton biomass in this study. Chlorophyll a concentrations were low (<4 mug l-1) during inundation by the river when flow through the floodplain was high, but concentrations rapidly increased as river inflow decreased and the floodplain drained. Therefore, hydrologic conditions in the weeks following inundation by river inflow appeared most important for producing phytoplankton biomass in the floodplain. Discharges from local streams were important sources of water to the floodplain before and after inundation by the river, and they supplied dissolved inorganic nutrients while chlorophyll a was increasing. Discharge from the floodplain was enriched in chlorophyll a relative to downstream locations in the river and estuary during the initial draining and later when local stream inflows produced brief discharge pulses. Based on the observation that phytoplankton biomass peaks during drainage events, we suggest that phytoplankton production in the floodplain and biomass transport to downstream locations would be higher in years with multiple inundation and draining sequences.","Schemel, Laurence Edward; Sommer, Ted R.; Muller-Solger, Anke B.; Harrell, William C.",Scholarly Journals,2004,513,BIOSIS:PREV200400273679,wos,DC,NA,NA,NA,NA,NA,NA,NA
hydrological seasonality and spatio-temporal dynamics of physico-chemical variables of a tropical floodplain river,,"Montoya, Jose V.; Roelke, Daniel L.; Winemiller, Kirk O.; Cotner, James",Scholarly Journals,2004,89,BIOSIS:PREV200500123844,wos,DC,NA,NA,NA,NA,NA,NA,NA
fish assemblages of tropical floodplain lagoons: exploring the role of connectivity in a dry year,"Irregular rainfall and pronounced reductions of the hydrometric level in the year 2000 resulted in drastically altered hydrological connectivity of lentic environments in the upper Parana River floodplain. The objective of the present work was to examine spatial and temporal patterns of fish assemblage attributes and structure in relation to limnological variables associated with hydrological connectivity. Fish were collected quarterly by seining in the marginal areas of 15 lagoons belonging to two biotopic categories (connected and disconnected). Variation, in assemblage composition reflected the degree of hydrological connectivity. Values of assemblage attributes (species richness, density and biomass) were significantly lower in connected lagoons than in disconnected lagoons. Significantly higher values of species richness and biomass were recorded in November than in August. Rare species had the greatest effect on observed patterns in fish assemblage ordination (DCA). Observed patterns of variation in assemblage attributes were directly correlated with factors related to hydrological connectivity, such as depth, resources (zooplankton and chlorophyll a) and nutrients (total phosphorus).","Petry, Ana Cristina; Agostinho, Angelo Antonio; Gomes, Luiz Carlos",Scholarly Journals,2003,1,BIOSIS:PREV200510180551,wos,DC,NA,NA,NA,NA,NA,NA,NA
lateral mobility of the light harvesting complex in chloroplast membranes controls excitation energy distribution in higher plants,"Chloroplast [pea] thylakoid protein phosphorylation produces changes in light-harvesting properties and in membrane structure as revealed by freeze-fracture electron microscopy. Protein phosphorylation resulted in an increase in the 77.degree. K fluorescence signal at 735 nm relative to that at 685 nm. In addition, a decrease in connectivity between Photosystem II centers (PS II) and a dynamic quenching of the room temperature variable fluorescence was observed upon phosphorylation. Accompanying these fluorescence changes was a 23% decrease in the amount of stacked membranes. Microscopic analyses indicated that 8.0-nm particles fracturing on the P-face moved from the stacked into the unstacked regions upon phosphorylation. The movement of the 8.0-nm particles was accompanied by the appearance of chlorophyll b and 25 to 29 kD [kiloDalton] polypeptides in isolated stroma lamellae fractions. Phosphorylation of a population of the light-harvesting chlorophyll a/b protein complexes (LHC) in grana partitions causes the migration of these pigment proteins from the PS II-rich appressed membranes into the Photosystem I (PS I) enriched unstacked regions. This increases the absorptive cross section of PS I. In addition, we suggest that the mobile population of LHC functions to interconnect PS II centers in grana partitions; removal of this population of LHC upon phosphorylation limits PS II .fwdarw. PS II energy transfer and thereby favors spillover of energy from PS II to PS I.",KYLE D J; STAEHELIN L A; ARNTZEN C J,Scholarly Journals,1983,222,BIOSIS:PREV198376083516,wos,DC,NA,NA,NA,NA,NA,NA,NA
