"","title","authors","pub_year","volume","ID","result_DC","result_MB","result_PG","result_LY","result_CP","result_ES","result_RP","NO"
"2","a multidisciplinary approach to investigate deep-pelagic ecosystem dynamics in the gulf of mexico following deepwater horizon","Cook, April B.; Bernard, Andrea M.; Boswell, Kevin M.; Bracken-Grissom, Heather; D'Elia, Marta; DeRada, Sergio; Easson, Cole G.; English, David; Eytan, Ron, I; Frank, Tamara; Hu, Chuanmin; Johnston, Matthew W.; Judkins, Heather; Lembke, Chad; Lopez, Jose, V; Milligan, Rosanna J.; Moore, Jon A.; Penta, Bradley; Pruzinsky, Nina M.; Quinlan, John A.; Richards, Travis M.; Romero, Isabel C.; Shivji, Mahmood S.; Vecchione, Michael; Weber, Max D.; Wells, R. J. David; Sutton, Tracey T.",2020,7,2,NA,NA,NA,"n",NA,NA,NA,TRUE
"5","an abiotic typology and reference conditions for nutrients and chlorophyll-a in subtropical reservoirs (são paulo state, brazil)","Cardoso-Silva, Sheila;Frascareli, Daniele;Silva, Daniel C V R;Figueira, Rubens César Lopes;Bittencourt, Marisa Dantas;Moschini-Carlos, Viviane;Pompêo, Marcelo",2021,28,5,NA,NA,NA,NA,NA,"n",NA,TRUE
"7","assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis","Shen, Minghua;Liu, Xueqin",2021,125,7,NA,NA,NA,"n",NA,"y",NA,TRUE
"8","assessing the potential health risk of cyanobacteria and cyanotoxins in lake naivasha, kenya","Raffoul, M. H.; Enanga, E. M.; Senar, O. E.; Creed, I. F.; Trick, C. G.",2020,847,8,NA,NA,NA,NA,NA,"n",NA,TRUE
"10","benthic algal response to hyporheic-surface water exchange in an alluvial river","Wyatt, Kevin H.; Hauer, F. Richard; Pessoney, George F.",2008,607,10,NA,NA,NA,NA,NA,NA,"n",TRUE
"12","changing characteristics and driving factors of trophic state of lakes in the middle and lower reaches of yangtze river in the past 30 years","Zhu Guangwei; Xu Hai; Zhu Mengyuan; Zou Wei; Guo Chaoxuan; Ji Pengfei; Da Wenye; Zhou Yongqiang; Zhang Yunlin; Qin Boqiang",2019,31,12,NA,NA,NA,"n",NA,NA,NA,TRUE
"15","concerns about phytoplankton bloom trends in global lakes","Feng, Lian;Dai, Yanhui;Hou, Xuejiao;Xu, Yang;Liu, Junguo;Zheng, Chunmiao",2021,590,15,NA,"n",NA,NA,NA,NA,NA,TRUE
"16","connectivity and habitat typology drive co2 and ch4 fluxes across land-water interfaces in lowland rivers","Bolpagni, Rossano; Laini, Alex; Mutti, Tiziana; Viaroli, Pierluigi; Bartoli, Marco",2019,12,16,NA,NA,"y",NA,NA,"n",NA,TRUE
"27","freshwater inflow and responses from estuaries across a climatic gradient: an assessment of northwestern gulf of mexico estuaries based on stable isotopes","Marshall, Danielle A.; La Peyre, Megan K.; Palmer, Terence A.; Guillou, Gael; Sterba-Boatwright, Blair D.; Pollack, Jennifer Beseres; Lebreton, Benoit",2021,66,26,NA,NA,NA,"n",NA,NA,NA,TRUE
"29","granal stacking of thylakoid membranes in higher plant chloroplasts: the physicochemical forces at work and the functional consequences that ensue","Chow, Wah Soon; Kim, Eun-Ha; Horton, Peter; Anderson, Jan M.",2005,4,28,NA,"n",NA,NA,NA,NA,NA,TRUE
"30","greenhouse gas emissions from lakes along a permafrost gradient in western canada; climate feedback dominated by methane","Kuhn, M A A;Thompson, L;Olefeldt, D;Anonymous",2020,2020,29,NA,NA,NA,"n",NA,NA,NA,TRUE
"31","hydrologic controls on the trophic status of shallow lakes on the boreal plain","Sass, Gabor Z",2006,68,30,NA,NA,NA,NA,NA,"n","y",TRUE
"41","immigration and early life stages recruitment of the european flounder (platichthys flesus) to an estuarine nursery: the influence of environmental factors","Amorim, Eva;Bordalo, Adriano A;Elliott, Michael;Ramos, Sandra",2016,107,39,NA,NA,"n",NA,NA,NA,NA,TRUE
