"ID","qc"
"chl_10","include"
"chl_12","a"
"chl_15","a"
"chl_26","b"
"chl_28","c"
"chl_29","a"
"chl_39","b"
"chl_46","c"
"chl_5","include"
"chl_52","c"
"chl_59","b"
"chl_72","a"
"chl_76","c"
"pro_10","b"
"pro_12","b"
"pro_12","b"
"pro_13","a"
"pro_13","a"
"pro_19","b"
"pro_23","c"
"pro_29","b"
"pro_30","b"
"pro_30","b"
"pro_39","b"
"pro_4","include"
"pro_50","include"
"pro_50","include"
"pro_58","b"
"pro_58","b"
"pro_6","include"
"pro_60","a"
"pro_61","b"
"pro_61","b"
"pro_64","b"
"pro_64","b"
"pro_69","include"
"pro_69","include"
"pro_70","b"
"pro_74","include"
"pro_77","b"
"pro_77","b"
"r3_07","b"
"r3_09","c"
"chl_2","b"
"chl_16","include"
"chl_16","include"
"chl_67","b"
"pro_32","b"
"pro_53","b"
"pro_8","b"
"pro_53","b"
"pro_73","b"
"pro_9","b"
"pro_16","b"
"pro_72","b"
"pro_41","b"
"pro_28","b"
"pro_63","b"
"r2_04","b"
"r2_06","b"
"r3_04","b"
"chl_7","a"
"chl_7","a"
"chl_45","a"
"chl_45","a"
"chl_70","include"
"chl_70","include"
"pro_25","a"
"pro_46","a"
"pro_1","a"
"pro_3","a"
"pro_45","a"
"pro_3","a"
"pro_45","a"
"pro_2","a"
"pro_37","a"
"pro_65","a"
"pro_25","a"
"r3_27","a"
"r3_03","a"
"r3_11","a"
"r3_26","a"
"r3_28","a"
"r3_06","a"
"r3_12","a"
"r3_20","a"
"chl_1","include"
"chl_3","include"
"chl_4","include"
"chl_4","include"
"chl_6","include"
"chl_6","include"
"chl_9","include"
"chl_11","include"
"chl_13","include"
"chl_14","include"
"chl_17","include"
"chl_18","include"
"chl_19","include"
"chl_19","include"
"chl_20","include"
"chl_21","include"
"chl_22","include"
"chl_23","include"
"chl_24","include"
"chl_25","include"
"chl_27","include"
"chl_27","include"
"chl_31","include"
"chl_32","include"
"chl_32","include"
"chl_33","include"
"chl_34","include"
"chl_35","include"
"chl_35","include"
"chl_36","include"
"chl_36","include"
"chl_37","include"
"chl_38","include"
"chl_38","include"
"chl_40","include"
"chl_41","include"
"chl_41","include"
"chl_42","include"
"chl_43","include"
"chl_44","include"
"chl_48","include"
"chl_48","include"
"chl_49","include"
"chl_50","include"
"chl_51","include"
"chl_51","include"
"chl_53","include"
"chl_54","include"
"chl_54","include"
"chl_55","include"
"chl_56","include"
"chl_57","include"
"chl_58","include"
"chl_58","include"
"chl_60","include"
"chl_60","include"
"chl_61","include"
"chl_61","include"
"chl_62","include"
"chl_63","include"
"chl_64","include"
"chl_65","include"
"chl_66","include"
"chl_68","include"
"chl_69","include"
"chl_71","include"
"chl_73","include"
"chl_74","include"
"chl_75","include"
"chl_77","include"
"chl_77","include"
"chl_78","include"
"chl_78","include"
"chl_79","include"
"chl_8","include"
"chl_30","include"
"chl_30","include"
"chl_47","include"
"pro_11","include"
"pro_18","include"
"pro_67","include"
"pro_59","include"
"pro_35","include"
"pro_27","include"
"pro_15","include"
"pro_22","include"
"pro_36","include"
"pro_43","include"
"pro_57","include"
"pro_71","include"
"pro_5","include"
"pro_26","include"
"pro_33","include"
"pro_40","include"
"pro_47","include"
"pro_54","include"
"pro_68","include"
"pro_75","include"
"pro_17","include"
"pro_24","include"
"pro_31","include"
"pro_38","include"
"pro_52","include"
"pro_59","include"
"pro_66","include"
"pro_44","include"
"pro_44","include"
"pro_51","include"
"pro_43","include"
"pro_20","include"
"pro_27","include"
"pro_34","include"
"pro_48","include"
"pro_55","include"
"pro_62","include"
"pro_76","include"
"pro_71","include"
"pro_7","include"
"pro_42","include"
"pro_56","include"
"pro_14","include"
"pro_35","include"
"pro_49","include"
"pro_21","include"
"r2_01","include"
"r2_02","include"
"r2_03","include"
"r2_05","include"
"r2_07","include"
"r3_25","include"
"r3_01","include"
"r3_05","include"
"r3_13","include"
"r3_15","include"
"r3_17","include"
"r3_19","include"
"r3_21","include"
"r3_23","include"
"r3_02","include"
"r3_08","include"
"r3_10","include"
"r3_14","include"
"r3_16","include"
"r3_18","include"
"r3_22","include"
"r3_24","include"
