"","title","abstract","authors","pub_year","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","ID","reason"
"1","a limnological examination of the southwestern amazon, madre de dios, peru",NA,NA,NA,"check","CP","N","fluvial systems, floodplain lakes","Y","chlorophyll-a, nutrients","not specific - hydrological connectivity mentioned","Y","dissertation","chl_1",NA
"2","abiotic variability among different aquatic systems of the central amazon floodplain during drought and flood events","This paper examines water properties from lakes, channels and paleo-channels located in Mamiraua Sustainable Development Reserve, in Central Amazon floodplain, Amazonas, Brazil. The authors analysed surface temperature, conductivity, pH, dissolved oxygen, turbidity, transparency, suspended inorganic and organic matter, chlorophyll-a, pheophytin, total nitrogen, total phosphorus, organic and inorganic carbon in 2009 high water phase, 2009 and 2010 low water phases. Multivariate statistical analyses of 24 aquatic systems (6 ressacas, 12 lakes and 6 channels, 142 samples) were applied to the variables. First, they analysed the entire set of variables to test for differences among phases of the hydrological year and types of aquatic systems using a PERMANOVA two-way crossed design. The results showed that the all measured limnological variables are distinct regarding both factors: types of aquatic systems and hydrological phases. In general, the magnitude and amplitude of all variables were higher in the low water phase than in the high water phase, except for water transparency in all aquatic system's types.","Affonso, A G;Queiroz, H L",2015,"ES","LY","N","central Amazon floodplain","Y","surface temperature, conductivity, pH, dissolved oxygen, turbidity, transparency, suspended inorganic and organic matter, chlorophyll-a, pheophytin, total nitrogen, total phosphorus, organic and inorganic carbon","hydrologic phase (stage?)","Y",NA,"chl_3",NA
"3","abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube","This study investigated the relationships of time-dependent hydrological variability and selected microbial food web components. Samples were collected monthly from the KopaÄki Rit floodplain in Croatia, over a period of 19Â months, for analysis of bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a. Similar hydrological variability at different times of the year enabled partition of seasonal effects from hydrological changes on microbial community properties. The results suggested that, unlike some other studies investigating sites with different connectivity, bacterioplankton abundance, and phytoplankton abundance and biomass increased during lentic conditions. At increasing water level, nanophytoplankton showed lower sensitivity to disturbance in comparison with total phytoplankton biomass: this could prolong autotrophic conditions within the floodplain. Bacterioplankton biomass, unlike phytoplankton, was not impacted by hydrology. The bacterial biomass less affected by hydrological changes can be an important additional food component for the floodplain food web. The results also suggested a mechanism controlling bacterial cell size independent of hydrology, as bacterial cell size was significantly decreased as nanoflagellate abundance increased. Hydrology, regardless of seasonal sucession, has the potential to structure microbial food webs, supporting microbial development during lentic conditions. Conversely, other components appear unaffected by hydrology or may be more strongly controlled by biotic interactions. This research, therefore, adds to understanding on microbial food web interactions in the context of flood and flow pulses in river-floodplain ecosystems.","Palijan, Goran",2012,"MB","PG","n","floodplain","y","bacterioplankton abundance, size, and biomass; abundance of nanoflaggellates and nanophytoplankton; concentration of cholorphyll a","unclear; water level","y","The information in the abstract does not seem directly relevant (no clear connectivity metric, focus on microbial community), but mentions measuring chlorophyll a, so maybe worth looking at full text","chl_4",NA
"4","abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube","This study investigated the relationships of time-dependent hydrological variability and selected microbial food web components. Samples were collected monthly from the Kopački Rit floodplain in Croatia, over a period of 19 months, for analysis of bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a. Similar hydrological variability at different times of the year enabled partition of seasonal effects from hydrological changes on microbial community properties. The results suggested that, unlike some other studies investigating sites with different connectivity, bacterioplankton abundance, and phytoplankton abundance and biomass increased during lentic conditions. At increasing water level, nanophytoplankton showed lower sensitivity to disturbance in comparison with total phytoplankton biomass: this could prolong autotrophic conditions within the floodplain. Bacterioplankton biomass, unlike phytoplankton, was not impacted by hydrology. The bacterial biomass less affected by hydrological changes can be an important additional food component for the floodplain food web. The results also suggested a mechanism controlling bacterial cell size independent of hydrology, as bacterial cell size was significantly decreased as nanoflagellate abundance increased. Hydrology, regardless of seasonal sucession, has the potential to structure microbial food webs, supporting microbial development during lentic conditions. Conversely, other components appear unaffected by hydrology or may be more strongly controlled by biotic interactions. This research, therefore, adds to understanding on microbial food web interactions in the context of flood and flow pulses in river-floodplain ecosystems.","Palijan, Goran",2012,"check","PG","n","floodplain","y","bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a","water level","y",NA,"chl_4",NA
"5","aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain","The pulsing of river discharge affects biodiversity and productivity of whole river-floodplain ecosystems, triggering the transport, storage and processing of carbon. In this study we investigate the short-term changes in water chemistry and net pelagic metabolism (NEP) in two floodplain lakes in response to a flood pulse. The two oxbow lakes investigated in the floodplain of the Mediterranean Ebro River (NE Spain) showed a clear temporal shift in their metabolic balance, controlled by the river discharge and associated changes in water physical and chemical characteristics. Water chemistry (turbidity, water organic matter, chlorophyll a and nutrients concentration) returned to pre-flood values after 4 days, highlighting the resilience of the ecosystem to flood pulses. Lake NEP was depressed before and during floods to a minimum of -34 mg O-2 m(-3) h(-1), and increased after the flood pulse to a maximum of +463 mg O-2 m(-3) h(-1). The phytoplankton assemblage showed before and after floods a replacement of autotrophic species (e.g. Chlorophyceans) by mixotrophic organisms (e.g. Cryptophyceans, Euglenoids). A linear mixed effects model identified abiotic factors, particularly temperature and river discharge, as significant predictors of the net aquatic metabolism and community respiration during flood conditions. Our results suggest that the role of the Ebro floodplain lakes as sources or sinks of C is complex and relative to the time scale investigated, depending strongly on the river discharge dynamics and the transport of limiting nutrients (phosphorus).","Gallardo, B.; Espanol, C.; Comin, F. A.",2012,"MB","RP","N","floodplain","Y","NEP","river discharge","Y","should likely keep to read full paper","chl_6",NA
"6","aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain","The pulsing of river discharge affects biodiversity and productivity of whole river-floodplain ecosystems, triggering the transport, storage and processing of carbon. In this study we investigate the short-term changes in water chemistry and net pelagic metabolism (NEP) in two floodplain lakes in response to a flood pulse. The two oxbow lakes investigated in the floodplain of the Mediterranean Ebro River (NE Spain) showed a clear temporal shift in their metabolic balance, controlled by the river discharge and associated changes in water physical and chemical characteristics. Water chemistry (turbidity, water organic matter, chlorophyll a and nutrients concentration) returned to pre-flood values after 4 days, highlighting the resilience of the ecosystem to flood pulses. Lake NEP was depressed before and during floods to a minimum of -34 mg O-2 m(-3) h(-1), and increased after the flood pulse to a maximum of +463 mg O-2 m(-3) h(-1). The phytoplankton assemblage showed before and after floods a replacement of autotrophic species (e.g. Chlorophyceans) by mixotrophic organisms (e.g. Cryptophyceans, Euglenoids). A linear mixed effects model identified abiotic factors, particularly temperature and river discharge, as significant predictors of the net aquatic metabolism and community respiration during flood conditions. Our results suggest that the role of the Ebro floodplain lakes as sources or sinks of C is complex and relative to the time scale investigated, depending strongly on the river discharge dynamics and the transport of limiting nutrients (phosphorus).","Gallardo, B.; Espanol, C.; Comin, F. A.",2012,"MB","RP","n","floodplain lakes","y","water chemistry (including chlorophyll a); net pelagic metabolism","flood/not flood","y","describes the impact of flood on phystoplankton assemblage ","chl_6",NA
"7","bacterioplankton from two hungarian danube river wetlands (beda-karapancsa, danube-drava national park) and its relations to environmental variables","Seasonal and spatial distribution of bacterioplankton from two Hungarian oxbow lake type wetlands, Mocskos-Danube and Riha, was studied. They were both covered by macrophytes and they had different hydrological connectivity to the Danube. The six sampling campaigns from April to October 2014 included parallel samples from the Danube River at Mohacs, Hungary. Bacterial abundance was the highest in spring and in Mocskos-Danube, followed by Mohacs and Riha. Positive relationships existed between bacterioplankton and temperature on one hand and suspended solids, pH, PO4-P and chl-a on the other. Negative correlations were with DOC, dissolved oxygen and NH4-N.","Kalcheva, Hristina; Dinka, Maria; Agoston-Szabo, Edit; Berczik, Arpad; Kalchev, Roumen; Tarjanyi, Nikolett; Kiss, Anita",2016,"PG","DC","n","oxbow lake wetlands","y","bacterioplankton, temperature, suspended solids, pH, PO4-P, chl-a , DOC, dissolved oxygen and NH4-N","unknown","y",NA,"chl_9",NA
"8","biological responses to recent eutrophication and hydrologic changes in xingyun lake, southwest china",NA,NA,NA,"check","CP","N","lake","Y","diatom and cladoceran assemblage","hydrological connectivity/hydrodynamics - uncertain","Y","long time scale connectivity","chl_11",NA
"9","circulation patterns of biogenic ions in young glacial areas",NA,NA,NA,"check","CP","N","pond","Y","water quality","Ponds connected to river","Y","water quality, not productivity","chl_13",NA
"10","complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian","Assessing carryover effects from the aquatic to the terrestrial stage of pond-breeding amphibians is critical as temperature and hydrologic regimes of temporary ponds continue to be altered as a result of climate change and other stressors. We evaluated carryover effects of hydroperiod length (50-62 days) on amphibian survival, developmental rates, and locomotor performance using a model organism, the wood frog (Rana sylvatica), through aquatic and terrestrial mesocosm experiments with individual tests of locomotor performance. We found that shorter hydroperiods (50 days) had low larval survival (0.44 ± 0.03) compared to the 62-day hydroperiod (0.91 ± 0.09) and increased developmental rates, resulting in smaller sizes at metamorphosis. We did not find evidence of carryover effects on terrestrial survival three months post-metamorphosis with all hydroperiod treatments showing high terrestrial survival (0.88 ± 0.07). However, post-metamorphic frogs from the longer hydroperiod treatments grew faster and larger compared to individuals from shortest hydroperiods and performed significantly better during endurance trials at 18 °C. Disentangling complex carryover effects across multiple life stages in species with high phenotypic plasticity can shed light on the physiological capacity of species to respond to changing environments and inform mechanistic predictions of persistence in the face of anthropogenic stressors.","Thompson, Cassandra M;Popescu, Viorel D",2021,"PG","LY","n ","temporary ponds","y","amphibian survival, developmental rates, and locomotor performance (results in larval survival, developmental rates, sizes at metamorphosis, terrestrial survival, size and growth, three months post-metamorphosis)","hydroperiods length (days)","y","model organism, the wood frog (Rana sylvatica), through aquatic and terrestrial mesocosm experiments","chl_14",NA
