"title","abstract","authors","article_type","pub_year","volume","database_id","database_type","reviewer_name","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes"
"the performance of ecological cage aquaculture of pejerrey odontesthes bonariensis in pampean lakes under two different hydrological scenarios","Ecological aquaculture promotes the development of sustainable farming systems, focusing on a wide range of ecosystem elements. The ecological aquaculture of the zooplanktivorous pejerrey ( Odontesthes bonariensis ) in floating cages in Pampean shallow lakes (Argentina) needs to be carried out considering the hydrological and chemical variations as modulators of plankton community and consequently of the pejerrey yield. To assess its performance in lakes with contrasting hydrological regimes, an experiment was carried out in two water bodies: La Salada de Monasterio Lake (Mon), an endorheic environment, and San Lorenzo Lake (Lor), connected to several lakes and the Salado River. During the experiment, regional rainfall generated high hydrological variability in Lor Lake changing its status of unconnected lake to a run‐of‐the‐river lake. High standard deviation in Chlorophyll‐a values in Lor indicated the significant effects of hydrological instability on the plankton community. Microcrustaceans abundance and biomass were higher in Mon, and almost disappeared in Lor when it turns into run‐of‐the‐river. The final fish growth and survival were significantly higher in Mon, endorsing the importance of zooplankton of high nutritional quality and hydrological, physical–chemical and biological stability. The results indicate that productive and stable environments with a sustained offer of natural food are better for the zooplanktivorous fish production. Connectivity with other water bodies and hydrological dependence on rainfall regimes have defining effects on phytoplankton, zooplankton and fish production, thus emerging as key factors to be considered for achieving better results in the ecological aquaculture implementation.","Javier R Garcia de Souza;Moreno, Vivian Yorojo;Sathicq, María B;Gómez, Nora;Sampietro, Susana;Donadelli, Jorge;Colautti, Darío C","Scholarly Journals","2021","52","2572363494","proquest","MB",NA,NA,NA,NA,NA,NA,NA
"water level as the key controlling regulator associated with nutrient and gross primary productivity changes in a large floodplain-lake system (lake poyang), china","A floodplain lake system can be described as a water conveyance-type lake system that is subject to high water-level fluctuations (WLFs). This study investigated the effects of WLF on the nutrient status and the gross primary productivity (GPP) of phytoplankton in Lake Poyang, a large floodplain-lake system in China. This study hypothesized that WLF is the key controlling regulator of the lake’s nutrient status, phytoplankton growth and GPP, driven by its influence on the lake’s hydrological connectivity in combination with water-flow velocity as well as other environmental parameters. The results showed that the intra-annual water levels in this lake varied from 7.61 m to 20.82 m while inter-annual water levels significantly decreased throughout 1989–2018 (P &lt; 0.05). Except for pH, most environmental variables and nutrients differed significantly each season. Mean GPP and chlorophyll a (Chl a) concentration during the water rising period was clearly higher compared to the dry season, wet season and falling period. Moreover, nutrient concentration was the main determining factor of phytoplankton growth and GPP during different periods, while water temperature (WT) also played a key role in influencing phytoplankton biomass and GPP during the water rising period. There was also a direct correlation between WLF and GPP during the water rising period, and WLF significantly affected nutrient concentration, subsequently impacting GPP. This study can benefit our overall knowledge of hydrological and ecological dynamics in floodplain-lake systems, while providing an important reference for policymakers in the management of dams and water quality in floodplain-lake systems globally.","Wang, Shuoyue;Gao, Yang;Jia, Junjie;Kun, Sun;Lyu, Sidan;Li, Zhaoxi;Lu, Yao;Wen, Xuefa","Scholarly Journals","2021","599","2574374455","proquest","CP",NA,NA,NA,NA,NA,NA,NA
"assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis","The alteration of lateral hydrological connectivity (LHC) is among the major causes of decline in biodiversity and ecosystem functioning and services in river-floodplain ecosystems. Yet, the effects of LHC alteration on aquatic ecosystems have not been rigorously tested and synthesized. Here, we conducted a literature review and meta-analysis to provide a global synthesis of the effects of LHC alteration on aquatic ecosystems, and to test the effectiveness of indicators for bioassessment. In our review we found that the effects of LHC alteration were disproportionally documented in terms of geographic distribution and research subject. Most studies were conducted in Europe and America on the biodiversity and abundance of macroinvertebrates and fish. In our meta-analysis, we compared effect sizes between pairs of three LHC levels, i.e. disconnected, moderately connected, and highly connected. We found that only a limited number of water quality indicators (e.g. chlorophyll a, total phosphorus, conductivity, and dissolved oxygen) and biological community indicators (e.g. fish species richness, and zooplankton abundance) showed significant differences between LHC levels. The responses of these indicators to LHC alteration differed, and sometimes in opposing directions. We found out responsive indicators and their response trends, which could not only facilitate effective biomonitoring and bioassessment with regard to engineering and restoration of LHC, but also provide scientific underpinnings of the understanding of trade-offs among the indicators. We identified knowledge gaps and provided recommendations on how to fill these gaps, which included investigating rarely documented regions, developing new indicators, and quantifying mechanistic links between LHC and ecosystem functioning and services.","Shen, Minghua;Liu, Xueqin","Scholarly Journals","2021","125","2524279576","proquest","LY",NA,NA,NA,NA,NA,NA,NA
"temporal coherence between lake and landscape primary productivity","Understanding the patterns and drivers of primary productivity is a major goal of ecology, but little is known about whether the primary productivities of different types of ecosystems—here, lakes and the landscapes in which they are embedded—fluctuate in related ways through time. Due to shared climatic variation and well-known connections between lake and terrestrial ecosystems, such as nutrient and resource subsidies, we hypothesized that interannual fluctuations in aquatic and terrestrial primary productivity indices could be coherent. We also expected that lake and watershed characteristics could modify the strength and nature of primary productivity relationships. We applied wavelet coherence analyses to time series of lake chlorophyll-a and satellite-derived NDVI to examine coherence between lakes and land, and used random forest regression and generalized additive models to evaluate why coherence varies among lakes. There can be substantial coherence between lake and terrestrial primary productivity, but the strength and phase (direction and time lag) of this relationship vary widely, and there were marked differences between short (2–4-year periods of oscillation) and long (&gt; 4-year periods of oscillation) timescales. Across all timescales, variables associated with the connectedness of lakes to their watersheds were consistently the important explanatory variables of the strength and phase of coherence. The patterns observed in this study suggest the importance of cross-ecosystem flows, as opposed to shared climatic variation, in determining temporal coherence between lakes and the landscape.","Walter, Jonathan A;Fleck, Rachel;Kastens, Jude H;Pace, Michael L;Wilkinson, Grace M","Scholarly Journals","2021","24","2517102093","proquest","DC",NA,NA,NA,NA,NA,NA,NA
"complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian","Assessing carryover effects from the aquatic to the terrestrial stage of pond-breeding amphibians is critical as temperature and hydrologic regimes of temporary ponds continue to be altered as a result of climate change and other stressors. We evaluated carryover effects of hydroperiod length (50-62 days) on amphibian survival, developmental rates, and locomotor performance using a model organism, the wood frog (Rana sylvatica), through aquatic and terrestrial mesocosm experiments with individual tests of locomotor performance. We found that shorter hydroperiods (50 days) had low larval survival (0.44 ± 0.03) compared to the 62-day hydroperiod (0.91 ± 0.09) and increased developmental rates, resulting in smaller sizes at metamorphosis. We did not find evidence of carryover effects on terrestrial survival three months post-metamorphosis with all hydroperiod treatments showing high terrestrial survival (0.88 ± 0.07). However, post-metamorphic frogs from the longer hydroperiod treatments grew faster and larger compared to individuals from shortest hydroperiods and performed significantly better during endurance trials at 18 °C. Disentangling complex carryover effects across multiple life stages in species with high phenotypic plasticity can shed light on the physiological capacity of species to respond to changing environments and inform mechanistic predictions of persistence in the face of anthropogenic stressors.","Thompson, Cassandra M;Popescu, Viorel D","Scholarly Journals","2021","195","2494302612","proquest","PG",NA,NA,NA,NA,NA,NA,NA
"an abiotic typology and reference conditions for nutrients and chlorophyll-a in subtropical reservoirs (são paulo state, brazil)","The establishment of reference conditions and typology are two important steps in water resources management. The reference conditions enable the determination of how impacted an ecosystem is, while the typology facilitates the implementation of management procedures. A study of subtropical reservoirs in São Paulo State (Brazil) was performed to obtain (1) an abiotic typology, using principal component analysis (PCA) and cluster analysis (Ward's method with Euclidean distances), and (2) reference conditions for total phosphorus (TP), total nitrogen (TN), and chlorophyll-a (Chl-a) in the dry and rainy seasons for one of the established typologies. Two main statistical techniques were used: the lake population distribution approach and the trisection method. PCA identified an environmental gradient in the east-west direction, with reservoirs at higher latitudes and with larger dimensions in the west, and smaller reservoirs in eastern areas with higher altitude and higher average annual rainfall. The PCA and cluster analysis indicated that there were four main types of reservoirs. The nutrient criteria techniques, obtained for 13 type I rainy-east reservoirs, were not significantly different (t test, p &lt; 0.05). Although the methods resulted in similar reference conditions, one-way ANOVA indicated significant differences between the seasons for Chl-a, which levels were slightly higher in the rainy season. As far as we know, this is the first study to simultaneously provide an abiotic typology and reference conditions for chlorophyll-a and nutrients in different seasons, considering subtropical reservoirs in South America. This investigation makes an important contribution to the monitoring and management of subtropical reservoirs, and the promotion of dialog between the scientific community and managers, aiming at ensuring the sustainability of water bodies.","Cardoso-Silva, Sheila;Frascareli, Daniele;Silva, Daniel C V R;Figueira, Rubens César Lopes;Bittencourt, Marisa Dantas;Moschini-Carlos, Viviane;Pompêo, Marcelo","Scholarly Journals","2021","28","2465440501","proquest","ES",NA,NA,NA,NA,NA,NA,NA
"seasonal variations in food web dynamics of floodplain lakes with contrasting hydrological connectivity in the southern gulf of mexico","Floodplains are some of the most productive and diverse ecosystems on Earth. The Usumacinta River Basin, in the Southern Gulf of Mexico, hosts several floodplain lakes, whose integrity is threatened by water resource development. We aimed to investigate how food webs in these ecosystems vary in relation to their hydrological connectivity and seasonal flood cycles. To do this, we combined analysis of water quality and stable isotopes in two lakes with permanent connection to the Usumacinta River and two isolated lakes during dry, early rainy and late rainy season. Significant differences in chlorophyll-a, nutrients and suspended solids were reflected in distinct trophic dynamics among lakes. Stable isotope analysis revealed that fish from all lakes relied predominantly on autochthonous primary production, but while phytoplankton was the dominant resource for fish in the isolated lakes, aquatic macrophytes made the highest contribution to consumers’ production in the connected lakes. Fish tended to have broader isotopic niches during the early rainy season, likely reflecting consumption of a wider range of resources following the first flow pulses of the year. Our study highlights the importance of hydrological connectivity and natural flow regimes to maintain the outstanding biodiversity and fishery yield of these floodplain ecosystems.","Cazzanelli, Matteo;Soria-Barreto, Miriam;Castillo, María Mercedes;Rodiles-Hernández, Rocío","Scholarly Journals","2021","848","2574330225","proquest","RP",NA,NA,NA,NA,NA,NA,NA
"concerns about phytoplankton bloom trends in global lakes","","Feng, Lian;Dai, Yanhui;Hou, Xuejiao;Xu, Yang;Liu, Junguo;Zheng, Chunmiao","Other Sources","2021","590","2491064164","proquest","MB",NA,NA,NA,NA,NA,NA,NA
"circulation patterns of biogenic ions in young glacial areas","The paper focuses on the effect of ponds (geographically isolated wetlands) on water quality within internally drained areas in a river catchment. The important part of the study was the point of formation of a periodic hydrographic network of internally drained areas linked with a main river as well as the identification of the circulation pattern of ions in such a system. The aim of the study was to examine the extent to which ponds pollute the main river upon physical connection with it. Research has shown that ponds participate actively in material circulation-including that of water and biogenic ions. The hydrographic network in Young Glacial areas is subject to very large seasonal changes. In the study area, the total length of the stream network in the dry season equaled 12 km, while in the wet season almost 75 km. At the same time, almost 50% of the internally drained areas in the catchment became connected with the surface runoff network. Such large seasonal changes in the hydrographic network yield large changes in stream water chemistry. In the study area, only 6 ponds were linked to the stream network during the dry season, while in the wet season, this number increased to 125. The parts of catchments featuring the largest changes in the hydrographic network as well as the largest number of ponds temporarily linked with surface runoff networks were characterized by a high content of total nitrogen and phosphorus-up to 244.2 kg N km2 per month and 26.2 kg P km2 per month.","Pietruszyński, Łukasz;Cieśliński, Roman","Scholarly Journals","2021","193","2475093102","proquest","CP",NA,NA,NA,NA,NA,NA,NA
"greenhouse gas emissions from lakes along a permafrost gradient in western canada; climate feedback dominated by methane","Small lakes with organic-rich sediments are important global sources of methane and carbon dioxide, yet emission sensitivity at high latitudes to climate change is poorly known and likely influenced by warming temperatures and permafrost thaw. In this study we monitored 20 lakes along a 1700 km transect from continuous permafrost to south of the permafrost boundary within the Mackenzie River Basin, a major global peatland region. Methane and carbon dioxide emissions from lakes had opposing trends across the permafrost gradient from north to south, with methane emissions increasing fourfold while carbon dioxide fluxes shifted from net sources to net sinks. Parallel increases from north to south in base cation, nutrient, and dissolved organic carbon concentrations suggest increased lake hydrological connectivity with both deep groundwater and shallow peatland porewater. However, methane and carbon dioxide emissions were decoupled, despite both having latitudinal trends, potentially due to different environmental drivers. Methane emissions were positively correlated with increasing water temperature and lake depth. Conversely, carbon dioxide emissions were negatively correlated with increasing nutrient and chlorophyll a concentrations, predominantly found in the sporadic and permafrost free permafrost zones. Permafrost conditions thus likely play a key role in regulating lake productivity and carbon dioxide exchange. Our results suggest that both direct impacts of temperature change and indirectly effects of permafrost thaw will interact strongly with climate warming to determine future net greenhouse gas balance. Using spatial trends and simple atmospheric perturbation models to project future lake greenhouse gas emissions suggests a positive net radiative forcing this century dominated by increasing methane emissions that is only partially offset by reduced carbon dioxide emissions.","Kuhn, M A A;Thompson, L;Olefeldt, D;Anonymous","Scholarly Journals","2020","2020","2541948953","proquest","LY",NA,NA,NA,NA,NA,NA,NA
