"title","abstract","authors","article_type","pub_year","volume","database_id","database_type","ID","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes"
"20-years cumulative impact from shrimp farming on mangroves of northeast brazil","Brazilian mangroves cover about 11,100 km(2) and provide a wide range of ecosystem services. Despite their importance, they are one of the most impacted ecosystems because of combined influences of climate change, pollution, and direct conversion and loss. A major driver of environmental impacts is shrimp farming and this is particularly acute in the semi-arid northeast of Brazil, where mangroves are constrained in a narrow band along ephemeral estuaries that are often impacted by multi-year droughts. Recent changes to Brazilian law, in particular the Forest Code, have weakened protection for mangroves and associated apicum (salt pan) ecosystems. In NE Brazil, most shrimp ponds are converted from mangrove-adjacent apicuns rather than the mangroves themselves with periodic hydrological connectivity through dammed channels, allowing the flushing of effluents. As a result, the main impacts on mangroves are typically indirect, because of pollution inputs from shrimp pond effluents and associated loss of ecosystem services including reductions in primary productivity, carbon storage capacity, resilience to other environmental stressors, their efficiency as estuarine filters, and biodiversity and abundance of subsistence use of marine species. Soil damage and infrastructure remaining after shrimp pond deactivation impairs mangrove recovery. This extends the duration of the damage and allows the occupation of degraded areas by other activities that can permanently impair ecosystem function. In this review, we address several aspects of the shrimp culture boom in NE Brazilian, their features and consequences, and the future of mangroves in the region considering climate change and rising poverty. Our conclusions on the practices and outcomes of shrimp farming in mangroves are likely to apply to areas with similar environmental settings, e.g., semiarid regions worldwide, and particularly in the Latin America and Caribbean region, and our findings can be taken into account to improve conservation and management of these forests at the least to a regional scale.","de Lacerda, Luiz Drude; Ward, Raymond D.; Godoy, Mario Duarte Pinto; de Andrade Meireles, Antonio Jeovah; Borges, Rebecca; Ferreira, Alexander Cesar","Scholarly Journals",2021,4,"BIOSIS:PREV202100542455","wos",1,"MB","ES",NA,NA,NA,NA,NA,NA,NA
"a meta-analysis of environmental tradeoffs of hydropower dams in the sekong, sesan, and srepok (3s) rivers of the lower mekong basin","In Mekong riparian countries, hydropower development provides energy, but also threatens biodiversity, ecosystems, food security, and an unparalleled freshwater fishery. The Sekong, Sesan, and Srepok Rivers (3S Basin) are major tributaries to the Lower Mekong River (LMB), making up 10% of the Mekong watershed but supporting nearly 40% of the fish species of the LMB. Forty-five dams have been built, are under construction, or are planned in the 3S Basin. We completed a meta-analysis of aquatic and riparian environmental losses from current, planned, and proposed hydropower dams in the 3S and LMB using 46 papers and reports from the past three decades. Proposed mainstem Stung Treng and Sambor dams were not included in our analysis because Cambodia recently announced a moratorium on mainstem Mekong River dams. More than 50% of studies evaluated hydrologic change from dam development, 33% quantified sediment alteration, and 30% estimated fish production changes. Freshwater fish diversity, non-fish species, primary production, trophic ecology, and nutrient loading objectives were less commonly studied. We visualized human and environmental tradeoffs of 3S dams from the reviewed papers. Overall, Lower Sesan 2, the proposed Sekong Dam, and planned Lower Srepok 3A and Lower Sesan 3 have considerable environmental impacts. Tradeoff analyses should include environmental objectives by representing organisms, habitats, and ecosystems to quantify environmental costs of dam development and maintain the biodiversity and extraordinary freshwater fishery of the LMB.",NA,"Scholarly Journals",2021,13,"2474777248","proquest",2,"CP","LY",NA,NA,NA,NA,NA,NA,NA
"a vital link: water and vegetation in the anthropocene","This paper argues that the interplay of water, carbon and vegetation dynamics fundamentally links some global trends in the current and conceivable future Anthropocene, such as cropland expansion, freshwater use, and climate change and its impacts. Based on a review of recent literature including geographically explicit simulation studies with the process-based LPJmL global biosphere model, it demonstrates that the connectivity of water and vegetation dynamics is vital for water security, food security and (terrestrial) ecosystem dynamics alike. The water limitation of net primary production of both natural and agricultural plants - already pronounced in many regions - is shown to increase in many places under projected climate change, though this development is partially offset by water-saving direct CO sub(2) effects. Natural vegetation can to some degree adapt dynamically to higher water limitation, but agricultural crops usually require some form of active management to overcome it - among them irrigation, soil conservation and eventually shifts of cropland to areas that are less water-limited due to more favourable climatic conditions. While crucial to secure food production for a growing world population, such human interventions in water-vegetation systems have, as also shown, repercussions on the water cycle. Indeed, land use changes are shown to be the second-most important influence on the terrestrial water balance in recent times. Furthermore, climate change (warming and precipitation changes) will in many regions increase irrigation demand and decrease water availability, impeding rainfed and irrigated food production (if not CO sub(2) effects counterbalance this impact - which is unlikely at least in poorly managed systems). Drawing from these exemplary investigations, some research perspectives on how to further improve our knowledge of human-water-vegetation interactions in the Anthropocene are outlined.","Gerten, D","Scholarly Journals",2013,17,"1464514962","proquest",3,"LY","MB",NA,NA,NA,NA,NA,NA,NA
"algal extracellular release in river-floodplain dissolved organic matter: response of extracellular enzymatic activity during a post-flood period","River-floodplain systems are susceptible to rapid hydrological events. Changing hydrological connectivity of the floodplain generates a broad range of conditions, from lentic to lotic. This creates a mixture of allochthonously and autochthonously derived dissolved organic matter (DOM). Autochthonous DOM, including photosynthetic extracellular release (PER), is an important source supporting bacterial secondary production (BSP). Nonetheless, no details are available regarding microbial extracellular enzymatic activity (EEA) as a response to PER under variable hydrological settings in river-floodplain systems. To investigate the relationship between bacterial and phytoplankton components, we therefore used EEA as a tool to track the microbial response to non-chromophoric, but reactive and ecologically important DOM. The study was conducted in three floodplain subsystems with distinct hydrological regimes (Danube Floodplain National Park, Austria). The focus was on the post-flood period. Enhanced %PER (up to 48% of primary production) in a hydrologically isolated subsystem was strongly correlated with beta-glucosidase, which was related to BSP. This shows that in disconnected floodplain backwaters with high terrestrial input BSP can also be driven by autochthonous carbon sources (PER). In a semi-isolated section, in the presence of fresh labile material from primary producers, enhanced activity of phenol oxidase was observed. In frequently flooded river-floodplain systems, BSP was mainly driven by enzymatic degradation of particulate primary production. Our research demonstrates that EEA measurements are an excellent tool to describe the coupling between bacteria and phytoplankton, which cannot be deciphered when focusing solely on chromophoric DOM.","Sieczko, Anna; Maschek, Maria; Peduzzi, Peter","Scholarly Journals",2015,6,"BIOSIS:PREV201500284917","wos",4,"DC","LY",NA,NA,NA,NA,NA,NA,NA
"analysis of anthropogenic, climatological, and morphological influences on dissolved organic matter in rocky mountain streams","In recent decades, the Rocky Mountains (RM) have undergone significant changes associated with anthropogenic activities and natural disturbances. These changes have the potential to alter primary productivity and biomass carbon storage. In particular, dissolved organic carbon (DOC) in RM streams can affect heterotrophic processes, act as a source for the nutrient cycle, absorb sunlight radiation, alter metal transport, and can promote the production of carcinogenic byproducts during water treatment. Recent studies have focused on the relationship between bark beetle infestations and stream organic matter but have reached conflicting conclusions. Consequently, here we compile and process multiple datasets representing features of the RM for the period 1983–2012 with the purpose of assessing their relative influence on stream DOC concentrations using spatial statistical modeling. Features representing climate, land cover, forest disturbances, topography, soil types, and anthropogenic activities are included. We focus on DOC during base-flow conditions in RM streams because base-flow concentrations are more representative of the longer-term (annual to decadal) impacts and are less dependent on episodic, short-term storm and runoff/erosion events. To predict DOC throughout the network, we use a stream network model in a 56,550 km2 area to address the intrinsic connectivity and hydrologic directionality of the stream network. Natural forest disturbances are positively correlated with increased DOC concentrations; however, the effect of urbanization is far greater. Similarly, higher maximum temperatures, which can be exacerbated by climate change, are also associated with elevated DOC concentrations. Overall, DOC concentrations present an increasing trend over time in the RM region.","Rodríguez-Jeangros, Nicolás;McCray, John E;Hering, Amanda S","Scholarly Journals",2018,10,"2315283266","proquest",5,"PG","DC",NA,NA,NA,NA,NA,NA,NA
"biogeochemistry and biodiversity in a network of saline–alkaline lakes: implications of ecohydrological connectivity in the kenyan rift valley","The volcanic and tectonic lakes of the eastern branch of the African Great Rift Valley are exposed to multiple stressors and characterised by different levels of hydrological connectivity. Past volcanic activity generated endorheic basins, in which the nature of the bedrock, its connection with groundwater, and local climatic conditions, favoured the formation of highly alkaline soda waters. While little is known about their nutrient dynamics, most lakes in this area experience considerable microbial blooms and harbour diverse and specifically adapted microbial populations, some of which could embody novel biotechnological potential.Here we review the geochemical and (micro)biological features of a cluster of lakes distributed within the East African Rift, ranging from fresh to hypersaline, under different levels of hydrological connectivity. Possibly no other location on Earth has a comparable range of lake types in close proximity to each other and representing such a remarkable microbial biodiversity. Environmental heterogeneity and habitat connectivity among adjacent aquatic ecosystems may have positive implications in terms of regional environmental stability by enhancing the overall carrying capacity, i.e. the resilience to various forms of impact, contributing to biodiversity protection.Within these ecosystems, microbial processes encompass the entire basis of their primary production, in particular those driven by cyanobacteria. Combining a multi-disciplinary ecohydrological approach with a biogeochemical investigation of the principles underlying their functioning, our study can contribute to the development of appropriate environmental protection measures to effectively maintain their natural capital.","Fazi, Stefano;Butturini, Andrea;Tassi, Franco;Amalfitano, Stefano;Venturi, Stefania;Vazquez, Eusebi;Clokie, Martha;Wanjala, Silas W;Pacini, Nic;Harper, David M","Scholarly Journals",2018,18,"2067302535","proquest",6,"ES","RP",NA,NA,NA,NA,NA,NA,NA
"biogeochemistry of carbon in the amazonian floodplains over a 2000-km reach: insights from a process-based model","The influence of Amazonian floodplains on the hydrological, sedimentary, and biogeochemical river budget was investigated over a 2000-km reach. A process-based model relying on the closure of chemical fluxes and isotopic signals was implemented. On average for the whole studied reach, the overall fluxes of carbon associated with mineralization and aquatic photosynthesis were estimated to 35.7 and 15.3 Tg C yr -1 , respectively. Almost 57% of the carbon sequestrated by photosynthesis comes from aerial sources (flooded forest); the remaining 43% resulted from aquatic sources (várzea grasses and phytoplankton). The process rates substantially fluctuate over the annual cycle, depending particularly on the extension of flooded area and on the river-floodplain connectivity. As the river level declines, the drastic decrease of turbidity and the lower supply of carbon substrates promote autotrophy to the detriment of heterotrophy, leading to substantial changes of pH and gaseous equilibria in the river water. The main consequences are (i) the side-chain oxidation of dissolved organic matter leading to the concomitant rises of the carbon to nitrogen atomic ratio and nitrate contents and (ii) the sorption of hydrophobic humic acids, which fractionate 13 C and thus lead to 13 C-depleted particulate organic matter (fine fraction) compared to remaining dissolved organic matter. As the river flow rises, the heterotrophy prevails over autotrophy and this tends to attenuate the chemical signature imprinted by the latter. The significant contribution of aerial autochthonous sources to the budget of carbon indicates that the fluxes of mineralization are sustained by the net primary production of river corridors. The variable extension of submerged areas defines the proportions of CO 2 exported by the river and released to the atmosphere. The rate of CO 2 outgassing on the studied reach (18.8 Tg C yr -1 ) represents about 50% of the incoming dissolved inorganic carbon flux. The rate of methane emission is estimated as 2.2 Tg C yr -1 and that of denitrification is estimated as 0.87 Tg N yr -1 , representing 1.5 times the flux of dissolved inorganic nitrogen (DIN) exported by the Amazon River at the station of Óbidos (0.64 Tg N yr -1 ).","Jose Mauro Sousa de Moura,@ Daniel de Castro Victoria,&amp; Andre Marcondes Andrade Toledo,, Vincent;Colicchio++, Erich","Scholarly Journals",2011,15,"851503725","proquest",7,"RP","PG",NA,NA,NA,NA,NA,NA,NA
"bird rookery nutrient over-enrichment as a potential accelerant of mangrove cay decline in belize","Coastal eutrophication is an issue of serious global concern and although nutrient subsidies can enhance primary productivity of coastal wetlands, they can be detrimental to their long-term maintenance. By supplying nutrients to coastal ecosystems at levels comparable to intensive agriculture practices, roosting colonial waterbirds provide a natural experimental design to examine the impacts of anthropogenic nutrient enrichment in these systems. We tested the hypothesis that long-term nutrient enrichment from bird guano deposition is linked to declines in island size, which may subsequently decrease the stability and resilience of mangrove cays in Belize. We combined remote sensing analysis with field- and lab-based measurements of forest structure, sediment nutrients, and porewater nutrients on three pairs of rookery and control cays in northern, central, and southern Belize. Our results indicate that rookery cays are disappearing approximately 13 times faster than cays without seasonal or resident seabird populations. Rookery cays were associated with a significantly higher concentration of nitrogen (N) in mangrove leaves and greater aboveground biomass, suggesting that eutrophication from bird guano contributes to increased aboveground productivity. Sediments of rookery cays also had lower percentages of soil organic matter and total N and carbon (C) than control islands, which suggests that eutrophication accelerates organic matter decomposition resulting in lower total C stocks on rookery cays. Our results indicate that coastal eutrophication can reduce ecosystem stability by contributing to accelerated cay loss, with potential consequences for mangrove resilience to environmental variability under contemporary and future climatic scenarios.","Simpson, L T;Canty, S W J;Cissell, J R;Steinberg, M K;Cherry, J A;Feller, I C","Scholarly Journals",2021,197,"2580694638","proquest",8,"MB","CP",NA,NA,NA,NA,NA,NA,NA
"cold comfort: arctic seabirds find refugia from climate change and potential competition in marginal ice zones and fjords","Climate change alters species distributions by shifting their fundamental niche in space through time. Such effects may be exacerbated by increased inter-specific competition if climate alters species dominance where competitor ranges overlap. This study used census data, telemetry and stable isotopes to examine the population and foraging ecology of a pair of Arctic and temperate congeners across an extensive zone of sympatry in Iceland, where sea temperatures varied substantially. The abundance of Arctic Brünnich's guillemot Uria lomvia declined with sea temperature. Accessibility of refugia in cold water currents or fjords helped support higher numbers and reduce rates of population decline. Competition with temperate Common guillemots Uria aalge did not affect abundance, but similarities in foraging ecology were sufficient to cause competition when resources are limiting. Continued warming is likely to lead to further declines of Brünnich's guillemot, with implications for conservation status and ecosystem services.","Bonnet-Lebrun, Anne-Sophie;Larsen, Thomas;Thórarinsson, Thorkell Lindberg;Kolbeinsson, Yann;Frederiksen, Morten;Morley, Tim I;Fox, Derren;Boutet, Aude;le Bouard, Fabrice;Deville, Tanguy;Hansen, Erpur Snær;Hansen, Thomas;Roberts, Patrick;Ratcliffe, Norman","Scholarly Journals",2021,NA,"2595555040","proquest",9,"CP","RP",NA,NA,NA,NA,NA,NA,NA
"collapse and failure of ancient agricultural stone terraces: on-site geomorphic processes, pedogenic mechanisms, and soil quality","Water is the major limiting factor for primary productivity in drylands. In ancient times, stone terraces aimed at runoff harvesting and soil erosion control were established, allowing agricultural crop production. Land abandonment and cease of maintenance have led to the collapse and failure of terraces in the hinterlands of the Roman/Byzantine city of Avdat in the arid Negev Desert, Israel. The objective of this study was to assess the geomorphic processes and pedogenic mechanisms related to terrace collapse, and their on-site impact on soil quality. We studied key properties of the top 10 cm of soil in intact-terrace plots and partially-collapsed terrace plots, as well as in ‘natural’ lands. Unexpectedly, the soil texture was finer in the partially collapsed-terrace plots (clay loam) than that in the intact-terrace plots (loam). This was attributed to transportation of mineral material by rolling, which sorts out the large primary particles. This process, which characterizes rill erosion of high erosive power, is probably the predominant surface process in this study. The soil penetration resistance was significantly greater in the partially-collapsed terrace plots, and was attributed to the continuous removal of recently deposited loose sediments and exposure of the underlying, compacted older sediments. Soil stoniness, which was 16-fold greater in the partially-collapsed terrace plots, was also attributed to soil erosion. Unexpectedly, the total organic carbon was similar in both terrace states. Yet, labile organic carbon was 41% lower in soil of the partially-collapsed terrace plots, suggesting greater susceptibility of this fraction to erosional processes. The low electrical conductivity in the soil of the intact-terrace plots, was attributed to the better leaching of salts. The soil's calculated available water capacity was 42% greater in the intact-terrace plots. The study suggests that these processes and mechanisms strengthen each other through a chain of feedbacks, resulting in accelerated degradation of the collapsed-terrace lands.","Stavi, Ilan;Gusarov, Yulia;Halbac-Cotoara-Zamfir, Rares","Scholarly Journals",2019,344,"2237530685","proquest",10,"LY","MB",NA,NA,NA,NA,NA,NA,NA
