"","X","ID","reviewer","summarized_by","connectivity_categorical","connectivity_quanitative","season_month","year","mean_chl","min_chl","max_chl","error_chl","error_type","sample_size","units","notes"
"1",1,"chl_23","MB","connected lagoons","connected",NA,"February, May, August, November","2000",11.1,2.3,37.5,NA,NA,NA,"ug/L","from table "
"2",2,"chl_23","MB","disconnected lagoons","disconnected",NA,"February, May, August, November","2000",22.4,0,129.7,NA,NA,NA,"ug/L","from table "
"3",3,"chl_34","MB","connected","connected",NA,"spring","2012",78.4,NA,NA,30.9,"sd","10","ug dm^-3","from table "
"4",4,"chl_34","MB","connected plus","connected",NA,"spring","2012",49.8,NA,NA,32.5,"sd","15","ug dm^-3","from table; connected plus defined as connected to both the river and water from the catchment"
"5",5,"chl_34","MB","isolated","disconnected",NA,"spring","2012",18.5,NA,NA,12.9,"sd","25","ug dm^-3","from table "
"6",6,"chl_34","MB","connected","connected",NA,"summer","2012",82.1,NA,NA,18,"sd","10","ug dm^-3","from table "
"7",7,"chl_34","MB","connected plus","connected",NA,"summer","2012",54.1,NA,NA,42.9,"sd","15","ug dm^-3","from table; connected plus defined as connected to both the river and  water from the catchment "
"8",8,"chl_34","MB","isolated","disconnected",NA,"summer","2012",20.4,NA,NA,15.7,"sd","25","ug dm^-3","from table "
"9",9,"chl_34","MB","spring",NA,NA,"spring","2012",38.3,NA,NA,33.2,"sd","50","ug dm^-3","from table; differences between spring and summer attributed to snow melt "
"10",10,"chl_34","MB","summer",NA,NA,"summer","2012",41.8,NA,NA,36,"sd","50","ug dm^-3","from table; differences between spring and summer attributed to snow melt "
"11",13,"chl_61","MB","eupotamal A","connected",NA,"March, April, May, June, July","2004",55.4,15.6,130.2,NA,NA,"","ug/L","connectivity category interpreted from habitat type description, there are more nuanced differences in connected, but none were completed disconnected; data from table, table also reported chl-b and chl-c; more chl data in plot - bar plot with mean values plus or minus sd for each month in each of the five river-floodplain habitat types"
"12",14,"chl_61","MB","eupotamal B","connected",NA,"March, April, May, June, July","2004",64.3,14.8,151,NA,NA,"10","ug/L","connectivity category interpreted from habitat type description, there are more nuanced differences in connected, but none were completed disconnected; data from table, table also reported chl-b and chl-c; more chl data in plot - bar plot with mean values plus or minus sd for each month in each of the five river-floodplain habitat types"
"13",15,"chl_61","MB","Parapotamal A","connected",NA,"March, April, May, June, July","2004",39.3,23.1,86.3,NA,NA,"10","ug/L","connectivity category interpreted from habitat type description, there are more nuanced differences in connected, but none were completed disconnected; data from table, table also reported chl-b and chl-c; more chl data in plot - bar plot with mean values plus or minus sd for each month in each of the five river-floodplain habitat types"
"14",16,"chl_61","MB","Parapotamal B","connected",NA,"March, April, May, June, July","2004",44.4,5.3,92.9,NA,NA,"10","ug/L","connectivity category interpreted from habitat type description, there are more nuanced differences in connected, but none were completed disconnected; data from table, table also reported chl-b and chl-c; more chl data in plot - bar plot with mean values plus or minus sd for each month in each of the five river-floodplain habitat types"
"15",17,"chl_61","MB","Paleopotamal","connected",NA,"March, April, May, June, July","2004",48.6,4.9,130.8,NA,NA,"20","ug/L","connectivity category interpreted from habitat type description, there are more nuanced differences in connected, but none were completed disconnected; data from table, table also reported chl-b and chl-c; more chl data in plot - bar plot with mean values plus or minus sd for each month in each of the five river-floodplain habitat types"
"16",18,"chl_69","MB","Group A","connected","PCA","March, April, May, June, July, August, September","2005",24.87,NA,NA,9.78,"sd","70","ug/L","not confident about connected/disconected designations; groups distinguished by PCA, Group A = initial flood pulse, March, April"
"17",19,"chl_69","MB","Group B","disconnected","PCA","March, April, May, June, July, August, September","2005",30.69,NA,NA,9.76,"sd","70","ug/L","not confident about connected/disconected designations; groups distinguished by PCA, Group B = low water level, June, September"
"18",20,"chl_69","MB","Group C","connected","PCA","March, April, May, June, July, August, September","2005",11.8,NA,NA,4.94,"sd","70","ug/L","not confident about connected/disconected designations; groups distinguished by PCA, Group C = isolated flood pulses, May, July, August"
"19",23,"pro_55","PG","1996","isolated",NA,"mid to late-July","1996",5.1,NA,NA,NA,NA,NA,"ug/L","isolated lake, lake-wide means"
