"ID","connectivity_type","connectivity_measure","seasonal_code","repeats_code"
"chl_16","2","d","y","n"
"chl_56","1","a","y","n"
"chl_6","2","e","y","n"
"pro_56","1","c","y","n"
"pro_56","2","c","y","n"
"chl_74","1","a","n","n"
"chl_48","2","a","n","y"
"pro_38","1","d","n","n"
"chl_37","2","e","y","n"
"chl_19","2","c","n","n"
"chl_20","1","d","n","y"
"chl_20","1","e","n","y"
"chl_20","2","d","n","y"
"chl_20","2","e","n","y"
"chl_31","2","e","n","n"
"chl_38","1","c","y","y"
"chl_38","2","c","y","y"
"chl_49","1","a","n","n"
"chl_57","1","d","n","y"
"chl_65","1","d","y","n"
"chl_65","1","e","y","n"
"chl_65","2","d","y","n"
"chl_65","2","e","y","n"
"chl_75","1","c","y","y"
"chl_75","2","c","y","y"
"chl_9","2","d","y","n"
"pro_35","1","c","n","y"
"pro_35","2","c","n","y"
"pro_52","3","a","n","n"
"pro_54","0","g","y","n"
"pro_55","0","h","n","y"
"pro_57","1","b","y","n"
"chl_23","2","a","n","n"
"chl_23","2","d","n","n"
"chl_34","2","d","n","n"
"chl_42","0","g","y","n"
"chl_53","2","e","y","n"
"chl_61","1","d","y","n"
"chl_61","2","d","y","n"
"chl_69","2","e","y","n"
"chl_79","2","e","y","y"
"pro_11","2","d","y","y"
"pro_17","1","a","n","n"
"pro_17","3","a","n","n"
"pro_22","2","d","y","y"
"pro_22","2","e","y","y"
"pro_51","1","g","n","n"
"pro_51","2","g","n","n"
"pro_76","1","d","n","n"
"pro_76","2","d","n","n"
"chl_4","2","c","y","y"
"chl_36","2","c","y","n"
"chl_55","2","d","y","n"
"chl_63","2","c","y","n"
"chl_63","2","d","y","n"
"chl_8","0","g","n","n"
"pro_31","2","c","y","y"
"pro_34","1","c","y","n"
"pro_34","1","e","y","n"
"pro_34","2","c","y","n"
"pro_34","2","e","y","n"
"chl_44","0","h","n","n"
"chl_73","2","b","y","n"
"chl_73","2","c","y","n"
"chl_32","3","c","n","n"
"chl_40","1","b","n","y"
"chl_50","2","d","y","y"
"chl_58","1","c","n","n"
"chl_66","2","g","n","n"
"chl_77","1","b","y","n"
"pro_27","0","g","y","n"
"pro_71","2","a","y","n"
"pro_68","1","e","n","y"
"pro_68","2","e","n","y"
"pro_66","1","e","n","y"
