"ID","qc","stage"
"pro_48","include","full_text_review"
"chl_64","a","full_text_review"
"pro_50","a","full_text_review"
"pro_47","a","full_text_review"
"pro_59","b","full_text_review"
"chl_30","a","full_text_review"
"pro_14","a","full_text_review"
"chl_1","a","full_text_review"
"chl_14","c","full_text_review"
"pro_26","a","full_text_review"
"pro_42","include","full_text_review"
"chl_24","a","full_text_review"
"chl_7","a","full_text_review"
"pro_36","a","full_text_review"
"chl_13","include","full_text_review"
"chl_70","include","full_text_review"
"pro_5","include","full_text_review"
"chl_16","include","full_text_review"
"chl_56","include","full_text_review"
"chl_27","include","full_text_review"
"chl_6","include","full_text_review"
"pro_56","include","full_text_review"
"chl_74","include","full_text_review"
"chl_48","include","full_text_review"
"pro_38","include","full_text_review"
"chl_37","include","full_text_review"
"chl_19","include","full_text_review"
"chl_20","include","full_text_review"
"chl_31","include","full_text_review"
"chl_38","include","full_text_review"
"chl_49","include","full_text_review"
"chl_57","include","full_text_review"
"chl_65","include","full_text_review"
"chl_75","include","full_text_review"
"chl_9","include","full_text_review"
"pro_35","include","full_text_review"
"pro_52","include","full_text_review"
"pro_54","include","full_text_review"
"pro_55","include","full_text_review"
"pro_57","include","full_text_review"
"chl_23","include","full_text_review"
"chl_34","include","full_text_review"
"chl_42","include","full_text_review"
"chl_53","include","full_text_review"
"chl_61","include","full_text_review"
"chl_69","include","full_text_review"
"chl_79","include","full_text_review"
"pro_11","include","full_text_review"
"pro_17","include","full_text_review"
"pro_22","include","full_text_review"
"pro_51","include","full_text_review"
"pro_76","include","full_text_review"
"chl_4","include","full_text_review"
"chl_25","include","full_text_review"
"chl_36","include","full_text_review"
"chl_55","include","full_text_review"
"chl_63","include","full_text_review"
"chl_8","include","full_text_review"
"pro_67","include","full_text_review"
"pro_43","include","full_text_review"
"pro_40","include","full_text_review"
"pro_31","include","full_text_review"
"pro_34","include","full_text_review"
"chl_18","include","full_text_review"
"chl_44","include","full_text_review"
"chl_73","include","full_text_review"
"chl_32","include","full_text_review"
"chl_40","include","full_text_review"
"chl_50","include","full_text_review"
"chl_58","include","full_text_review"
"chl_66","include","full_text_review"
"chl_77","include","full_text_review"
"pro_27","include","full_text_review"
"pro_71","include","full_text_review"
"pro_68","include","full_text_review"
"pro_66","include","full_text_review"
"pro_62","include","full_text_review"
"pro_49","include","full_text_review"
"chl_11","include","full_text_review"
"chl_21","include","full_text_review"
"chl_47","include","full_text_review"
"chl_17","include","full_text_review"
"chl_3","include","full_text_review"
"chl_35","include","full_text_review"
"chl_43","include","full_text_review"
"chl_54","include","full_text_review"
"chl_62","include","full_text_review"
"chl_71","include","full_text_review"
"pro_18","include","full_text_review"
"pro_20","include","full_text_review"
"pro_24","include","full_text_review"
"pro_33","include","full_text_review"
"pro_7","include","full_text_review"
"chl_22","include","full_text_review"
"chl_33","include","full_text_review"
"chl_41","include","full_text_review"
"chl_51","include","full_text_review"
"chl_60","include","full_text_review"
"chl_68","include","full_text_review"
"chl_78","include","full_text_review"
"pro_15","include","full_text_review"
"pro_21","include","full_text_review"
"pro_44","include","full_text_review"
"pro_69","include","full_text_review"
"pro_75","include","full_text_review"
"r2_01","include","full_text_review"
"r2_02","include","full_text_review"
"r2_03","include","full_text_review"
"r2_05","include","full_text_review"
"r2_07","include","full_text_review"
