,title,abstract,authors,article_type,pub_year,volume,database_id,database_type,ID,reviewer_name,consistency_check,marine_y_n,water_body_type,original_research_y_n,response_variable,connectivity_metric,inclusion,notes,reason
1,"a meta-analysis of environmental tradeoffs of hydropower dams in the sekong, sesan, and srepok (3s) rivers of the lower mekong basin","In Mekong riparian countries, hydropower development provides energy, but also threatens biodiversity, ecosystems, food security, and an unparalleled freshwater fishery. The Sekong, Sesan, and Srepok Rivers (3S Basin) are major tributaries to the Lower Mekong River (LMB), making up 10% of the Mekong watershed but supporting nearly 40% of the fish species of the LMB. Forty-five dams have been built, are under construction, or are planned in the 3S Basin. We completed a meta-analysis of aquatic and riparian environmental losses from current, planned, and proposed hydropower dams in the 3S and LMB using 46 papers and reports from the past three decades. Proposed mainstem Stung Treng and Sambor dams were not included in our analysis because Cambodia recently announced a moratorium on mainstem Mekong River dams. More than 50% of studies evaluated hydrologic change from dam development, 33% quantified sediment alteration, and 30% estimated fish production changes. Freshwater fish diversity, non-fish species, primary production, trophic ecology, and nutrient loading objectives were less commonly studied. We visualized human and environmental tradeoffs of 3S dams from the reviewed papers. Overall, Lower Sesan 2, the proposed Sekong Dam, and planned Lower Srepok 3A and Lower Sesan 3 have considerable environmental impacts. Tradeoff analyses should include environmental objectives by representing organisms, habitats, and ecosystems to quantify environmental costs of dam development and maintain the biodiversity and extraordinary freshwater fishery of the LMB.",NA,Scholarly Journals,2021,13,2474777248,proquest,2,CP,LY,n,river,n,"environmental losses: sediment alteration, hydrologic change, fish production change",uncertain; focuses on rivers with dams,n,meta-analysis; no connectivity,type
2,cold comfort: arctic seabirds find refugia from climate change and potential competition in marginal ice zones and fjords,"Climate change alters species distributions by shifting their fundamental niche in space through time. Such effects may be exacerbated by increased inter-specific competition if climate alters species dominance where competitor ranges overlap. This study used census data, telemetry and stable isotopes to examine the population and foraging ecology of a pair of Arctic and temperate congeners across an extensive zone of sympatry in Iceland, where sea temperatures varied substantially. The abundance of Arctic BrÃ¼nnich's guillemot Uria lomvia declined with sea temperature. Accessibility of refugia in cold water currents or fjords helped support higher numbers and reduce rates of population decline. Competition with temperate Common guillemots Uria aalge did not affect abundance, but similarities in foraging ecology were sufficient to cause competition when resources are limiting. Continued warming is likely to lead to further declines of BrÃ¼nnich's guillemot, with implications for conservation status and ecosystem services.","Bonnet-Lebrun, Anne-Sophie;Larsen, Thomas;ThÃ³rarinsson, Thorkell Lindberg;Kolbeinsson, Yann;Frederiksen, Morten;Morley, Tim I;Fox, Derren;Boutet, Aude;le Bouard, Fabrice;Deville, Tanguy;Hansen, Erpur SnÃ¦r;Hansen, Thomas;Roberts, Patrick;Ratcliffe, Norman",Scholarly Journals,2021,NA,2595555040,proquest,9,CP,RP,y,ocean,y,bird abundance,NA,n,marine; no connectivity,marine; connectivity
3,disturbance legacies increase and synchronize nutrient concentrations and bacterial productivity in coastal ecosystems,"Long-term ecological research can resolve effects of disturbance on ecosystem dynamics by capturing the scale of disturbance and interactions with environmental changes. To quantify how disturbances interact with long-term directional changes (sea-level rise, freshwater restoration), we studied 17 yr of monthly dissolved organic carbon (DOC), total nitrogen (TN), and phosphorus (TP) concentrations and bacterioplankton productivity across freshwater-to-marine estuary gradients exposed to multiple disturbance events (e.g., droughts, fire, hurricanes, and low-temperature anomalies) and long-term increases in water levels. By studying two neighboring drainages that differ in hydrologic connectivity, we additionally tested how disturbance legacies are shaped by hydrologic connectivity. We predicted that disturbance events would interact with long-term increases in water levels in freshwater and marine ecosystems to increase spatiotemporal similarity (i.e., synchrony) of organic matter, nutrients, and microbial activities. Wetlands along the larger, deeper, and tidally influenced Shark River Slough (SRS) drainage had higher and more variable DOC, TN, and TP concentrations than wetlands along the smaller, shallower, tidally restricted Taylor River Slough/Panhandle (TS/Ph) drainage. Along SRS, DOC concentrations declined with proximity to coast, and increased in magnitude and variability following drought and flooding in 2015 and a hurricane in 2017. Along TS/Ph, DOC concentrations varied by site (higher in marine than freshwater wetlands) but not year. In both drainages, increases in TN from upstream freshwater marshes occurred following fire in 2008 and droughts in 2010 and 2015, whereas downstream increases in TP occurred with coastal storm surge from hurricanes in 2005 and 2017. Decreases in DOC:TN and DOC:TP were explained by increased TN and TP. Increases in bacterioplankton productivity occurred throughout both drainages following low-temperature events (2010 and 2011) and a hurricane (2017). Long-term TN and TP concentrations and bacterioplankton productivity were correlated (r > 0.5) across a range of sampling distances (1-50 km), indicating spatiotemporal synchrony. DOC concentrations were not synchronized across space or time. Our study advances disturbance ecology theory by illustrating how disturbance events interact with long-term environmental changes and hydrologic connectivity to determine the magnitude and extent of disturbance legacies. Understanding disturbance legacies will enhance prediction and enable more effective management of rapidly changing ecosystems.","Kominoski, John S.; Gaiser, Evelyn E.; Castaneda-Moya, Edward; Davis, Stephen E.; Dessu, Shimelis B.; Julian, Paul, II; Lee, Dong Yoon; Marazzi, Luca; Rivera-Monroy, Victor H.; Sola, Andres; Stingl, Ulrich; Stumpf, Sandro; Surratt, Donatto; Travieso, Rafael; Troxler, Tiffany G.",Scholarly Journals,2020,101,BIOSIS:PREV202000485050,wos,16,CP,LY,y,freshwater-to-marine estuary gradients,y,"DOC, TN, TP, bacterioplankton productivity",drainages - 1 more hydrologically connected (tidal),n,"a lot of comparison of upstream and downstream, coastal storms, focus on disturbance ecology",marine
4,effects and prediction of nonpoint source pollution on the structure of aquatic food webs,"Nonpoint source pollution entering rivers will pollute water quality, degrading the health of aquatic ecosystems. However, owing to the lack of quantitative research on the effects of nonpoint source pollution on the structure of aquatic food webs, there is a lack of quantitative basis for river management. Nonpoint source pollution is not only difficult to control effectively, but also the success rate of water ecological restoration projects is low. With the increasing proportion of nonpoint source pollution in water environmental problems, it is urgent to quantitatively assess and predict the impact of nonpoint source pollution on the structure of food webs. Therefore, this thesis presents a method for quantitatively assessing and predicting the impact of nonpoint source pollution on the structure of food webs through using fuzzy clustering to screen the typical points of the impact of nonpoint source pollution, then using canonical correspondence analysis (CCA) and partial least squares regression analysis to comprehensively filtrate the driving factors affect food web that results in nonpoint source pollution, and then determining the impact of each driving factor on the structure of food webs. Finally, the change trend of food web structure is predicted. The results show that (1) the driving factors that the nonpoint source pollution that affects the food web structure is NH 3 â€N and chemical oxygen demand (COD). The increase in NH 3 â€N and COD promotes the growth of phytoplankton, causing the change of the primary productivity of the ecosystem, and ultimately changes the entire food web structure; (2) NH 3 â€N and COD affect the stability, maturity, connectivity and complexity of the aquatic food web structure. The increase of NH 3 â€N increases the connectivity and maturity of the food web structure but reduces complexity and stability; the increase of COD increases the connection of the food web structure, while reducing the other three indicators; (3) in some areas with good water quality, aquatic species diversity is high, the relationship of interspecies dietary is complex, food web structure level index is high and the structure of food web is stable. The food web structure in the rainy season will be better than that in the dry season. In some areas with severe water pollution and poor food web structure, the ability of the food web to resist external interference is weak. The food web structure in the rainy season will be worse than that in the dry season owing to rainfall into the river. The methods and conclusions in this treatise can provide a reliable and quantitative scientific basis for river ecosystem management and ecosystem restoration and can improve the success rate of ecological restoration projects.","Zhao, Chang S;Pan, Xu;Yang, Sheng T;Xiang, Hua;Zhao, Jin;Gan, Xin J;Ding, Su Y;Yu, Qiang",Scholarly Journals,2021,14,2478074154,proquest,23,CP,DC,n,river,y,primary productivity; compexity of food web structure; change trend of food webs,connectivity of aquatic food web structure?,n,"not about hydrologic connectivity, though could have useful info about food webs and nutrients/rain",connectivity
5,how do hydrogeological setting and meteorological conditions influence water table depth and fluctuations in ombrotrophic peatlands?,"Peatlands are wetland ecosystems where net primary production exceeds organic matter decomposition. They are characterized by a near-surface water table controlled by a combination of internal and external processes, influenced by short-term meteorological and long-term climate variations among other factors. Site-specific conditions, such as peat hydrodynamic properties, surface vegetation patterns, and hydrogeological setting also substantially influence water table dynamics. The objective of this work was to characterize the influence of hydrogeological setting and meteorological conditions on water table depths (WTD) and on fluctuations therein in seven ombrotrophic peatlands in or near the St. Lawrence Lowlands (southern Quebec, Canada). Up-gradient, mid-gradient, and down-gradient locations were monitored in the seven peatlands, using dipwells with hourly WTD recordings. WTD was also monitored in the marginal minerotrophic zone found in three of the seven peatlands. Additionally, heads in the outflow (i.e., receiving diffused water from the peatland) and inflow (i.e., providing diffused water to the peatland) zones within the adjacent mineral deposits were monitored in seven and three peatlands respectively, using piezometers with hourly hydraulic head recordings. Hydraulic conductivities for the outflow zones ranged between 1.4*10(-7) and 8.5*10(-3) cm/s, whereas those of the inflow zones ranged between 5.6*10(-7) and 3.9*10(-6) cm/s. Evapotranspiration was shown to be the dominant factor controlling monthly cumulative water table decreases (MCD), while precipitation dominated the monthly cumulative water table increases (MCI). A strong correlation was found between mean peatland WTD and outflow zone hydraulic conductivity. Peatlands that were identified as being strongly connected with the adjacent mineral deposits in a diffuse underground outflow zone showed the greatest variations in water storage. This study highlights the importance of the connection between peatlands and adjacent mineral deposits in controlling WTD, as found for those located in the St. Lawrence Lowlands. The results show that water table fluctuations are strongly controlled by meteorological conditions, and that hydrogeological setting exerts a strong control on MCI and MCD. Moreover, this work shows that WTD in ombrotrophic peatlands is influenced by the hydraulic conductivity of the outflow zones, and confirms that aquifer - peatland connectivity influences peatland water storage variations, and therefore peatland vulnerability to disturbances in aquifer groundwater levels.","Bourgault, Marc-Andre; Larocque, Marie; Garneau, Michelle",Scholarly Journals,2019,4,BIOSIS:PREV202100649773,wos,30,CP,PG,n,peatlands,y,water table depth,peatland connected with mineral deposits in underground oiutflow zone,n,connectivity type,connectivity
6,ideas and perspectives: carbon leaks from flooded land: do we need to replumb the inland water active pipe?,"At the global scale, inland waters are a significant source of atmospheric carbon (C), particularly in the tropics. The active pipe concept predicts that C emissions from streams, lakes and rivers are largely fuelled by terrestrial ecosystems. The traditionally recognized C transfer mechanisms from terrestrial to aquatic systems are surface runoff and groundwater drainage. We present here a series of arguments that support the idea that land flooding is an additional significant process that fuels inland waters with C at the global scale. Whether the majority of CO 2 emitted by rivers comes from floodable land (approximately 10 % of the continents) or from well-drained land is a fundamental question that impacts our capacity to predict how these C fluxes might change in the future. Using classical concepts in ecology, we propose, as a necessary step forward, an update of the active pipe concept that differentiates floodable land from drained land. Contrarily to well-drained land, many wetlands (in particular riparian and littoral wetlands) combine strong hydrological connectivity with inland waters, high productivity assimilating CO 2 from the atmosphere, direct transfer of litter and exudation products to water and waterlogged soils, a generally dominant allocation of ecosystem respiration (ER) below the water surface and a slow gas-exchange rate at the waterâ€“air interface. These properties force plants to pump atmospheric C to wetland waters and, when hydrology is favourable, to inland waters as organic C and dissolved CO 2 . This wetland CO 2 pump may contribute disproportionately to CO 2 emissions from inland waters, particularly in the tropics where 80 % of the global CO 2 emissions to the atmosphere occur. In future studies, more care must be taken in the way that vertical and horizontal C fluxes are conceptualized along watersheds, and 2-D models that adequately account for the hydrological export of all C species are necessary. In flooded ecosystems, significant effort should be dedicated to quantifying the components of primary production and respiration by the submerged and emerged part of the ecosystem community and to using these metabolic rates in coupled hydrologicalâ€“biogeochemical models. The construction of a global typology of wetlands that includes productivity, gas fluxes and hydrological connectivity with inland waters also appears necessary to adequately integrate continental C fluxes at the global scale.","Abril, GwenaÃ«l;Borges, Alberto V",Scholarly Journals,2019,16,2178491235,proquest,37,CP,RP,n,wetlands,n,carbon transfer,connectivity with inland waters,n,"theory proposal, not original research",type
7,"limnophase versus potamophase: how hydrological connectivity affects the zooplankton community in an oxbow lake (vistula river, poland)","The functioning of oxbow lakes depends primarily on the succession of two phases: potamophase (when water from the river flows into the lake) and limnophase (when water remains in the riverbed, ensuring stability in the lake). Hydrologic conditions in the river determine whether oxbows are isolated or connected with the river. They also determine the time and duration of both phases. The studied oxbow lake, located in the floodplain of the lower Vistula, was created as the result of river regulation in the 19th century. Observations were conducted during growing seasons in 2006, 2007, 2008 and 2013, during limnophase and potamophase. The study was aimed at evaluating the impact of changes in the river level on the oxbow lake. Potamophase brought greater zooplankton diversity. We recorded a higher number of species and a higher Shannon diversity index ( H â€²). During limnophase, higher water temperature led to greater zooplankton density. However, its diversity decreased. In recent years, probably due to climate change, the amount of precipitation has decreased. As a result, water levels in rivers are lower and potamophase is rare, while periods of isolation are longer. Low water levels in oxbows increase their primary productivity and decrease zooplankton biodiversity.","NapiÃ³rkowski, PaweÅ‚;NapiÃ³rkowska, Teresa",Scholarly Journals,2017,53,2196538034,proquest,44,CP,LY,n,oxbow lake,y,"zooplankton diversity, density",potamophase and limnophase (river connection),y,,NA
8,management options for restoring estuarine dynamics and implications for ecosystems: a quantitative approach for the southwest delta in the netherlands,"The Delta Works, a series of dams and barriers constructed in the 1960's-1980's changed the estuarine landscape of the Rhine-Meuse-Scheldt delta (SW Netherlands) into more stagnant and disengaged freshwater, brackish water or saltwater lakes. The remaining tidal systems were adapted by building a storm surge barrier in the Oosterschelde and dike reinforcement works along the Westerschelde. The Delta Works brought protection against flooding, but at the same time resulted in environmental and socio-economic problems, such as degradation of ecological quality and ecosystem functioning, disruption of fish migration routes, water and sediment quality problems. In this study we explore in an integrated, quantitative way the consequences of a number of management options for the Southwest Delta and their implications for the occurrence and distribution of aquatic and estuarine habitats, considering the mutual coherence between the water basins. Five scenarios were evaluated using a 1D hydraulic, water quality and primary production numerical model and GIS habitat mapping. Scenarios vary from small-scale interventions, such as changes in day-to-day management of hydraulic infrastructures or creation of small inlets in dams, feasible in the short term, to restoration of an open delta by removing dams and barriers, as a long term potential. We evaluate the outcomes in relation to the restoration of estuarine dynamics, as this is in policy plans proposed as a generic solution for the current ecological and environmental problems. Net water flow rates show more complex patterns when connectivity between water basins is increased and when sluice management is less strict. Estuarine transition zones and fish migration routes are partly restored, but only fully develop when basins are in open connection with each other. Area of intertidal habitats, tidal flats and tidal marshes, increases in each scenario, ranging between 7 and 83%, 1-56%, and 8-100% respectively, depending on scenario. Large scale infrastructural adaptations are needed to restore estuarine dynamics at large scale. The use of a 1D numerical model allowed to quantify the effect of different management measures for all water basins simultaneously, but also has its limitations. The model does not resolve more complex processes such as vertical mixing and morphodynamic changes. This requires expert judgment and more detailed 3D modelling. (C) 2015 The Authors. Published by Elsevier Ltd.","Ysebaert, Tom; van der Hoek, Dirk-Jan; Wortelboer, Rick; Wijsman, Jeroen W.M.; Tangelder, Marijn; Nolte, Arno",Scholarly Journals,2016,121,ZOOREC:ZOOR15205030616,wos,51,CP,RP,y,estuarine tidal systems,u,estuarine dynamics,connectivity between water basins,n*,is modeling original research? Connectivity is more of the response.,marine
9,"refining the 'pulse-reserve' model for arid central australia: seasonal rainfall, soil moisture and plant productivity in sand ridge and stony plain habitats of the simpson desert","In dry ecosystems, water supply is highly variable in time and space, occurring either as short pulses of shallow soil water or long phases of deep soil water. There may be correspondence between hierarchical soil water pulses and hierarchical biological responses, but this has not been directly tested for arid Australia. We compared plant community responses to an isolated short rain pulse (about 130mm, November 2008) versus the start, mid and later stages of an extended high rainfall phase (about 540mm, February 2010 to March 2011) at a site on the western edge of the Simpson Desert. We sampled across contrasting habitats: tall longitudinal sand ridges and adjacent stony clay plains (gibber). Thus, we compared responses to spatially variable soil moisture availability (sand vs. clay soil; run-off/on relief) and temporally variable rainfall supply. Our results supported the hierarchical resource pulse-biological response concept for dry ecosystems, with the short and long rainfall phases modulating distinct responses among functional types. Shallow-rooted annual grasses showed an equivalent positive response to the isolated pulse as to the first pulse of the high rain phase; whereas short-lived forbs, longer-lived (2-3 years) grasses and persistent forbs had peak abundance during the high rainfall phase. Perennial grass and shrub productivity did not change over time, though there was a distinct trend towards heightened sexual reproduction at the mid-late stages of the high rain phase. We also found that species seasonal growth tendencies were pronounced, and that spatial aspects of moisture availability resulted in different composition patterns at the habitat scale with the gibber and sand ridge sites showing strong and weak correspondence with temporal rainfall patterning respectively. Thus, we confirm that plant productivity models for this region should include the effects of rainfall connectivity and soil texture as well as species seasonal growth constraints and rooting attributes.","Nano, Catherine E. M.; Pavey, Chris R.",Scholarly Journals,2013,38,BIOSIS:PREV201300783895,wos,58,CP,LY,n,land,y,plant community response,rainfall connectivity,n,connectivity type,connectivity
10,the 'wet-dry' in the wet-dry tropics drives river ecosystem structure and processes in northern australia,"1. Northern Australia is characterised by a tropical wet-dry climate that regulates the distinctive character of river flow regimes across the region. There is marked hydrological seasonality, with most flow occurring over only a few months of the year during the wet season. Flow is also characterised by high variability between years, and in the degree of flow cessation, or intermittency, over the dry season.2. At present, the relatively low human population density and demand for water in the region means that most rivers have largely unmodified flow regimes. These rivers therefore provide a good opportunity to understand the role of natural flow variability in river ecosystem structure and processes.3. This review describes the major flow regime classes characterising northern Australian rivers, from perennial to seasonally intermittent to extremely intermittent, and how these regimes give rise to marked differences in the ecological character of these tropical rivers, particularly their floodplains.4. We describe the key features of these flow regimes, namely the wet and dry seasons and the transitions between these seasons, and how they regulate the biophysical heterogeneity, primary productivity and movement of biota in Australia's wet-dry tropical rivers.5. We develop a conceptual model that predicts the likely hydrological and ecological consequences of future increases in water abstraction (e. g. for agriculture), and suggest how such impacts can be managed so that the distinctive ecological character of these rivers is maintained.","Warfe, D. M.; Pettit, N. E.; Davies, P. M.; Pusey, B. J.; Hamilton, S. K.; Kennard, M. J.; Townsend, S. A.; Bayliss, P.; Ward, D. P.; Douglas, M. M.; Burford, M. A.; Finn, M.; Bunn, S. E.; Halliday, I. A.",Scholarly Journals,2011,56,BIOSIS:PREV201100712405,wos,65,CP,MB,n,tropical rivers and their floodplains,n,"primary productivity, movement of biota, biophysical heterogeneity",flow regimes (intermittency) during dry season,u,review,type
