ID,reviewer,summarized_by,connectivity_categorical,connectivity_quanitative,season_month,year,mean_chl,min_chl,max_chl,error_chl,error_type,sample_size,units,notes
chl_32,ES,Arc,connected,surface water-chemistry trajectory category 1,June,2010,1.5,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Box,disconnected,surface water-chemistry trajectory category 1,June,2010,2.4,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Coast P. ,disconnected,surface water-chemistry trajectory category 1,June,2010,2.36,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Godwit,connected,surface water-chemistry trajectory category 1,June,2010,1.5,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Left,disconnected,surface water-chemistry trajectory category 1,June,2010,2.2,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Notch,disconnected,surface water-chemistry trajectory category 1,June,2010,0.6,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Plugged,disconnected,surface water-chemistry trajectory category 1,June,2010,1.6,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Recover,disconnected,surface water-chemistry trajectory category 1,June,2010,0.7,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 1
chl_32,ES,Golf,connected,surface water-chemistry trajectory category 2,June,2010,0.6,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 2
chl_32,ES,Island,disconnected,surface water-chemistry trajectory category 2,June,2010,1.4,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 2
chl_32,ES,Larch,connected,surface water-chemistry trajectory category 2,June,2010,2.2,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 2
chl_32,ES,Lumpy,disconnected,surface water-chemistry trajectory category 2,June,2010,1.3,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 2
chl_32,ES,Orange ,connected,surface water-chemistry trajectory category 2,June,2010,0.5,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 2
chl_32,ES,Swept,connected,surface water-chemistry trajectory category 2,June,2010,0.7,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 2
chl_32,ES,Erin,connected,surface water-chemistry trajectory category 3,June,2010,1,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 3
chl_32,ES,Some,disconnected,surface water-chemistry trajectory category 3,June,2010,1,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 3
chl_32,ES,Strange,connected,surface water-chemistry trajectory category 3,June,2010,0.9,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 3
chl_32,ES,Coast L.,connected,surface water-chemistry trajectory category 4,June,2010,0.47,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 4
chl_32,ES,Homer,disconnected,surface water-chemistry trajectory category 4,June,2010,1.5,NA,NA,NA,NA,1,μg L–1,surface water-chemistry trajectory 4
