ID,title,reviewer_name,country,watershed,water_body_type,water_body_size,site_size,latitude,longitude,year,seasonality,seasons,study_type,connectivity,lateral,longitudinal,hyporheic,spatial,temporal_def,temporal,connectivity_process,connectivity_quantitative,connectivity_metric,connectivity_def,connectivity_type,connectivity_measure,seasonal_code,repeats_code,regulated (yes/no/unsure),predictors,responses,primary_productivity_metric,chlorophyll,chlorophyll_method,chlorophyll_response,p-value,food_web,mean,sd,n,data_published,data_figure,data_analysis_method,notes,meta_analysis,include_exclude,include_exclude_reason
chl_32,hydrological connectivity and basin morphometry influence seasonal water-chemistry variations in tundra ponds of the northwestern hudson bay lowlands,ES,usa,hudson bay lowlands,tundra pond,"475,000 km2",varies,N 58°45',W 93°50',2010,Y,summer,observational,Y,Y,Y,Y,Y,more than one season,Y,ice melt,Y,"oblique aerial photos, water isotope tracers, water-level loggers",seasonal water chemistry trajectory ,3,c,no,no,no,"water chemistry (major ions, nutrients, chl-a, suspendend sediments, pH)",seasonal water chemistry trajectory ,chl-a,μg L–1,lab,NA,N,N,N,N,Y,2014,y,PCA,permafrost,Y,include,all 3 criteria met
chl_40,influence of a drought event on hydrological characteristics of a small estuary on the amazon mangrove coast,ES,Brazil,Taperaçu Estuary,estuary,not defined,not defined,S 1°00',W 46°36',"2012, 2013",Y,all ,observational,Y,Y,Y,Y,Y,more than one season,Y,"precipitation, tides",Y,"precip, tides","temporal and spatial gradiants of water quality, nuts, and chl-a",1,b,no,yes,no,"spatial: sector, temporal: season, month, tide phase ","water quality, nutrients, chl-a",chl-a,mg m3,lab,Y,N,Y,Y,Y,N,2018,Y,"ANOVA, Mann-Whitney, Kruskal-Wallis tests",hyperheic zone briefly mentioned in discussion - having to do with freshwater stored in mangrove sediments that are released one ebb tide,Y,include,all 3 criteria met
chl_50,periphyton response to simulated nonpoint source pollution: local over regional control,ES,usa,Muskegon River,"river, wetland, lake","7,060 km2","1,033 km2)",not included,not included,"2006, 2007",Y,all ,"observational, field-based manipulation",N,Y,Y,N,Y,"more than one season, across two years",Y,river stage?,N,habitat type,hydrology,2,d,yes,yes,yes,"nutrient addition, road salt, temporal synchrony",periphyton biomass and metabolism,"periphyton biomass (chl-a, ADFM); community respiration, net community metabolism, synchrony in biomass between habitat pairs",ug cm-2,"accumulation on tiles, lab",Y,Y,N,Y,Y,Y,2011,Y,"one-way ANOVA (nutrients on microbial community); paired samples BACI analysis (nutrients on algal biomass -ash free dry mass and chl-a, APA, and metabolism - salt trials only); Pearson product moment correlation (synchrony in biomass, APA and metabolism between habitat pairs)","artificial substrates: in situ bio assay systems (tiles); no discussion about connectivity, experiments conducted in individual habitats",Y,include,connectivity metric
chl_58,short-term succession of aquatic plant species richness along ecosystem productivity and dispersal gradients in shallow lakes,ES,france,dombes region,lakes,varaiable; >1 ha - 100 ha,,N 45.75939° ,E 4.82898°,"2008, 2009",Y,"spring, summer",observational,Y,N,Y,N,Y,N,N,disturbance (human-induced drainage),Y,position in lake network,diaspore input,1,c,no,no,yes,"succession stage, productivity,  and connectivity",aquatic plant species richness,chl-a,μg L–1,lab,Y,Y,N,Y,Y,Y,2013,Y,GLM ANCOVA,deviance of ANCOVA reported,Y,include,all 3 criteria met
chl_66,temporal coherence between lake and landscape primary productivity,ES,usa,several; northeastern and midwestern states,lakes,variable,not defined,variable,variable,1989-2018,Y,"spring, summer","observational, manipulative",Y,N,N,N,Y,"more than one year, continuous measurements",Y,"Moran-like effects (climate, weather), cross-ecosystem flows",Y,aquatic and terrestrial primary productivity indices,coherence magnitude and phase difference between chlorophyll a and NDVI,2,g,no,no,yes,coefficient of variation in NDVI and variables associated with modulation of flows between lake and the landscape,lake–landscape coherence magnitude and phase relationships,"chl-a, terrestrial plant growth",NA,remote sensing,"N, used as predictor",Y,N,N,N,N,2021,N,"wavelet, GAM","connectivity not mentioned much and perhaps connectivity type '0' is more appropriate; data figure shows log10 mean chl-a x-axis and partial residuals on y-axis, figure does not identify lakes",Y,include,connectivity metric
chl_77,"trophic state and water quality in the danube floodplain lake (kopacki rit nature park, croatia) in relation to hydrological connectivity",ES,croatia,danube,floodplain lake,177 km2,"0,12 km2",N 45° 35,S 18° 51',1998-2005,Y,several,"observational, literature review, laboratory experiments - growth response of algae after nutrient additions
",Y,Y,N,N,N,more than one season,Y,flood ,Y,river stage,macrophyte growth rate,1,b,yes,no,yes,"sediment, hydrology, water quality, nutrients,  bacterial abundance, phytoplankton chlorophyll, invasive invertebrates",trophic state index,chl-a,μg L–1,lab,Y,N,macrophytes,Y,Y,N,2011,Y,"trophic state indices of secchi dephth, total phosphorus, phytoplankton chloropyll,and nitrogen","article in a book, article has original research and some results are lab based, evaluating growth response of algae after nutrient additions in laboaratory,  other data brought in through lit review but data not collected across same spatial and temporal scale",Y,include,criteria metric - original research is laboratory based
pro_27,flood disturbance affects macroinvertebrate food chain length in an alluvial river floodplain,ES,switzerland,Maggia River,floodplain,930 km2,7-km long and nearly 2-km wide,,,"2014, 2015, 2016",Y,"winter, summer, fall","observational, modeled",Y,N,N,N,N,more than one season,Y,river stage- floodplain disturbance ,Y,"time since last flood, flooding frequency",floodplain disturbance,0,g,yes,no,yes,"time since last flood, flooding frequency, habitat size, biofilm standing crop, POM",food chain length,POM,N,NA,NA,Y,invertebrates,N,N,N,2020,Y,"GLMM, isotope mixing models, isotope niche indices",data available upon request; modeled flood frequency and time elapsed since last flood,Y,include,all 3 criteria met
pro_71,tracking the resource pulse: movement responses of fish to dynamic floodplain habitat in a tropical river,ES,Australia,South Aligator river,floodplain,800 km2,10 km long,S 13°00',E 132°30' ,"2013, 2014",Y,"wet, dry",observational,Y,Y,Y,N,Y,"more than one season, continuous",Y,precipitation,Y,"distance from home, distance on floodplain",habitat variables,2,a,yes,no,no,"water depth, water coverage, periphyton/vegetation coverage, temperature",fish movement variables,N,N,NA,NA,N,fish,N,N,N,2020,N,"classification and regression tree modeling, GAM to describe temporal patterns of each habitat variable, GAMMS for fish movement",cool study - focus is on fish movement on flood plain; not sure its relevant withough chl-a,Y,include,connectivity metric
pro_68,"the impact of surface water exchange on the nutrient and particle dynamics in side-arms along the river danube, austria",ES,Austria,danube,river,"104,000 km2",not defined,N 48°12',E 16°22',"1991, 1995, 1996, 1999, 2001",N,"spring, summer, fall",observational,Y,Y,Y,Y,Y,"more than one year, continuous measurements",Y,flow pattern and stage,Y,"average annual duration (day per year) of upstream surface connection of the different floodplain water bodies with the main channel, and water age",duration of integration,"1, 2",e,no,yes,yes,"average annual duration (day per year) of upstream surface connection of the different floodplain water bodies with the main channel, and water age","conductance, geochemistry, nutrients, particle concentration, chl-a",chl-a,μg L–1,lab,Y,Y,N,Y,Y,Y,2004,Y,water age calculation,,Y,include,all 3 criteria met
pro_66,the danube restoration project: functional aspects and planktonic productivity in the floodplain system,ES,Austria,danube,floodplain,"104,000 km2",10 km2,not included,not included,"1991, 1995, 1996, 1999, 2001 ",N,"spring, fall",observational,Y,Y,Y,N,N,more than one season,Y,river stage,Y,river stage,retention time in side channel,1,e,no,yes,yes,"PAR, water retention time","nutrients, primatry production","chl-a, bacteria, primary production (incubations) and field extrapolated",μg L–1,lab,Y,N,Y,Y,Y,N,1999,Y,"theoretical water retention time calculation, primary production model, regression analyses and curve estimations for significant relationships",hyperheic mentioned but not measured,Y,include,all 3 criteria met
