,title,authors,pub_year,ID,reviewer_name,location,country,lat_X,lon_Y,accuracy,spatial_source,notes
3,abiotic variability among different aquatic systems of the central amazon floodplain during drought and flood events,"Affonso, A G;Queiroz, H L",2015,chl_3,CP,,,,,,location,
4,abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube,"Palijan, Goran",2012,chl_4,LY,,,,,,map,
7,aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain,"Gallardo, B.; Espanol, C.; Comin, F. A.",2012,chl_6,DC,,,,,,none,
12,"bacterioplankton from two hungarian danube river wetlands (beda-karapancsa, danube-drava national park) and its relations to environmental variables","Kalcheva, Hristina; Dinka, Maria; Agoston-Szabo, Edit; Berczik, Arpad; Kalchev, Roumen; Tarjanyi, Nikolett; Kiss, Anita",2016,chl_9,PG,,,,,,,
17,"complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian","Thompson, Cassandra M;Popescu, Viorel D",2021,chl_14,MB,,,,,,,
21,"contrasts between channels and backwaters in a large, floodplain river: testing our understanding of nutrient cycling, phytoplankton abundance, and suspended solids dynamics","Houser, Jeffrey N.",2016,chl_17,CP,,,,,,,
23,do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?,"Neves, Mayara P;Baumgartner, Dirceu;Baumgartner, Gilmar;Delariva, Rosilene L",2018,chl_19,DC,,,,,,,
27,"factors influencing algal biomass in intermittently connected, subtropical coastal ponds","Miller, Carrie J;Davis, Stephen E;Roelke, Daniel L;Li, Hsiu-Ping;Driffill, Matthew J",2009,chl_22,RP,,,,,,,
28,fish assemblages of tropical floodplain lagoons: exploring the role of connectivity in a dry year,"Petry, Ana Cristina; Agostinho, Angelo Antonio; Gomes, Luiz Carlos",2003,chl_23,MB,,,,,,,
29,floodplain lake assessment and fish assemblage dynamics in the mississippi alluvial valley (mississippi alluvial valley),"Steiner Andrews, Caroline Noelle",2013,chl_24,CP,,,,,,,
30,floods increase similarity among aquatic habitats in river-floodplain systems,"Thomaz, Sidinei M;Bini, Luis Mauricio;Bozelli, Reinaldo Luiz",2007,chl_25,LY,,,,,,,
32,functional indicators of stream health: a river-basin approach,"FEIO, MJ;Alves, T;BOAVIDA, M;Medeiros, A;Graca, Mas",2010,chl_27,DC,,,,,,,
38,"hydrologic variability, water chemistry, and phytoplankton biomass in a large floodplain of the sacramento river, ca, u.s.a","Schemel, Laurence Edward; Sommer, Ted R.; Muller-Solger, Anke B.; Harrell, William C.",2004,chl_31,PG,,,,,,,
39,hydrological connectivity and basin morphometry influence seasonal water-chemistry variations in tundra ponds of the northwestern hudson bay lowlands,"White, Jerry;Hall, Roland I;Wolfe, Brent B;Light, Erin M;Macrae, Merrin L;Fishback, LeeAnn;Keller, Wendel;Paterson, Andrew M;Ruehland, Kathleen M;Blais, Jules M",2014,chl_32,ES,Hudson Bay ,Canada,,,centroid,map,extracted from GE
42,hydrological connectivity as most probable key driver of chlorophyll and nutrients in oxbow lakes of the bug river (poland),"Kufel, Lech;Szymon LesÌniczuk",2014,chl_34,MB,,,,,,,
43,"hydrological connectivity, and the exchange of organic matter and nutrients in a dynamic river-floodplain system (danube, austria)","Tockner, K;Pennetzdorfer, D;Reiner, N;Schiemer, F;Ward, J V",1999,chl_35,CP,,,,,,,
45,hydrological pulse regulating the bacterial heterotrophic metabolism between amazonian mainstems and floodplain lakes,"Vidal, Luciana O;Abril, GwenÃƒÂ¤el;Artigas, Luiz F;Melo, Michaela L;Bernardes, Marcelo C;LobÃƒÂ£o, LÃƒÂºcia M;Reis, Mariana C;Moreira-Turcq, PatrÃƒÂ­cia;Benedetti, Marc;Tornisielo, Valdemar L;Roland, Fabio",2015,chl_36,LY,,,,,,,
47,hydrological seasonality and benthic algal biomass in a neotropical floodplain river,"Montoya, J V;Roelke, D L;Winemiller, KO;Cotner, J B;Snider, JA",2006,chl_37,DC,,,,,,,
48,hydrological seasonality and spatio-temporal dynamics of physico-chemical variables of a tropical floodplain river,"Montoya, Jose V.; Roelke, Daniel L.; Winemiller, Kirk O.; Cotner, James",2004,chl_38,PG,,,,,,,
