ID,reviewer,summarized_by,connectivity_categorical,connectivity_quanitative,season_month,year,mean_chl,min_chl,max_chl,error_chl,error_type,sample_size,units,notes
r3_01,MB,Dianshan Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",36.1,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Gehu Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",47.7,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Hongxing Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",57.6,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Longyang Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",113.3,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Moshui Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",103.6,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Nanhu Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",79.9,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Nantaizi Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",96,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Qingling Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",83.2,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Sanliqi Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",36.8,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Sanjiao Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",50.2,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Bao'ankou Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",13.2,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Houguan Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",14.7,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Huama Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",12.1,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Qihu Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",10.3,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Wuchang Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",5.8,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Yangcheng Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",13.2,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Honghu Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",5,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Junshan Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",1.4,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Langgan Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",1.1,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Luhu Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",4.2,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Nanbeizui Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",3.1,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Niushan Lake ,disconnected,NA,"spring, summer, fall, winter","2004, 2005",2.2,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Qiaodun Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",3.8,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Taojiada Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",3.4,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Xiaosihai Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",3.1,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Zhangdu Lake,disconnected,NA,"spring, summer, fall, winter","2004, 2005",4.5,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Laojianghe Lake,semi-connected,NA,"spring, summer, fall, winter","2004, 2005",8.7,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Tian'ezhou Lake,semi-connected,NA,"spring, summer, fall, winter","2004, 2005",3.3,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Dongting Lake,connected,NA,"spring, summer, fall, winter","2004, 2005",3.5,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Poyang Lake,connected,NA,"spring, summer, fall, winter","2004, 2005",2,NA,NA,NA,NA,NA,mg/m3,
r3_01,MB,Shijiu Lake,connected,NA,"spring, summer, fall, winter","2004, 2005",5.9,NA,NA,NA,NA,NA,mg/m3,
r3_05,MB,NC-11,semi-connected,NA,"spring, summer, fall, winter","1996, 1997",26,2.9,91,NA,NA,64,ug/L,median chl = 22; connected to river during floods
r3_05,MB,S-19-B,semi-connected,NA,"spring, summer, fall, winter","1996, 1997",45,1.4,256,NA,NA,68,ug/L,median chl = 27; variable connectivity to river
