ID,Description_Ecoregion,Major_Habitat_Type,Realm,FEOW_ID,notes
chl_16,Gulf of Venice Drainages,Temperate coastal rivers,Palearctic,415,
chl_6,Eastern Iberia,Temperate floodplain rivers and wetlands,Palearctic,414,
chl_19,Upper Uruguay,Tropical and subtropical upland rivers,Neotropic,333,
chl_49,Lower Yangtze/Lower Huang He,Temperate floodplain rivers and wetlands,Palearctic,766,"Yangtze, Huai (Lower Yangtze), Yellow, Haihe (Lower Huang He)"
pro_55,Upper Mississippi,Temperate floodplain rivers and wetlands,Nearctic,148,
chl_23,Lower Parana,Temperate floodplain rivers and wetlands,Neotropic,345,
chl_34,Central & Western Europe,Temperate floodplain rivers and wetlands,Palearctic,404,
chl_61,Upper Danube,Temperate upland rivers,Palearctic,417,
chl_69,Upper Danube,Temperate upland rivers,Palearctic,417,
chl_4,Upper Danube,Temperate upland rivers,Palearctic,417,
chl_36,Amazonas Lowlands,Tropical and subtropical floodplain rivers and wetland complexes,Neotropic,316,
chl_55,Upper Usumacinta,Tropical and subtropical upland rivers,Neotropic,174,
chl_63,Lower Parana,Temperate floodplain rivers and wetlands,Neotropic,345,
chl_32,Southern Hudson Bay,Temperate coastal rivers,Nearctic,110,Canada not USA
chl_50,Laurentian Great Lakes,Large lakes,Nearctic,116,
pro_68,Upper Danube,Temperate upland rivers,Palearctic,417,
chl_21,Lower Yangtze,Temperate floodplain rivers and wetlands,Palearctic,766,
chl_3,Amazonas Lowlands,Tropical and subtropical floodplain rivers and wetland complexes,Neotropic,316,
chl_35,Upper Danube,Temperate upland rivers,Palearctic,417,
chl_62,Upper Mackenzie,Temperate floodplain rivers and wetlands,Nearctic,104,
chl_51,Upper Congo,Tropical and subtropical upland rivers,Afrotropic,540,no county listed (also 539 if upper Congo rapids)
chl_60,St.Lawrence,Temperate coastal rivers,Nearctic,117,
r2_02,Middle Missouri,Temperate floodplain rivers and wetlands,Nearctic,143,checked all 16 lakes
r2_03,Lower Yangtze,Temperate floodplain rivers and wetlands,Palearctic,766,
r2_07,Ganges Delta & Plain,Tropical and subtropical floodplain rivers and wetland complexes,Indo-Malay,709,
chl_27,Western Iberia,Temperate coastal rivers,Palearctic,412,
pro_67,Columbia Unglaciated,Temperate floodplain rivers and wetlands,Nearctic,121,
r3_01,Lower Yangtze,Temperate floodplain rivers and wetlands,Palearctic,766,
r3_05,Central Prairie,Temperate upland rivers,Nearctic,146,
r3_23,Central Prairie,Temperate upland rivers,Nearctic,146,
r3_22,Dniester - Lower Danube,Temperate floodplain rivers and wetlands,Palearctic,418,
r3_24,Lake Victoria Basin,Large lakes,Afrotropic,521,
